Date,Births,Marriages,Deaths
1881-03-01,226558,77002,138978
1881-06-01,226549,102234,121363
1881-09-01,217135,98850,110654
1881-12-01,218143,122596,123161
1882-03-01,224817,80745,140794
1882-06-01,228596,107462,125675
1882-09-01,221628,104014,118805
1882-12-01,218835,123082,133979
1883-03-01,233546,89768,147570
1883-06-01,230372,97843,134480
1883-09-01,215620,106440,113920
1883-12-01,216977,126434,130155
1884-03-01,225931,84791,133090
1884-06-01,232373,109484,128883
1884-09-01,227367,102404,135842
1884-12-01,226311,119061,136861
1885-03-01,233439,79564,148670
1885-06-01,223481,105952,133313
1885-09-01,219651,100698,115304
1885-12-01,222746,116286,129305
1886-03-01,232213,79603,157878
1886-06-01,232698,102543,126557
1886-09-01,225772,98677,126183
1886-12-01,219294,117938,130899
1887-03-01,220696,78824,143975
1887-06-01,227648,106826,129557
1887-09-01,224308,101036,126068
1887-12-01,219470,120705,134808
1888-03-01,225048,81718,151107
1888-06-01,225510,104924,125769
1888-09-01,215908,104717,108568
1888-12-01,218797,122454,128994
1889-03-01,221394,83263,140150
1889-06-01,228779,113263,125185
1889-09-01,221905,109343,123164
1889-12-01,218604,128626,132911
1890-03-01,226631,83292,166378
1890-06-01,221227,120251,129230
1890-09-01,221893,116092,123196
1890-12-01,204414,133669,146597
1891-03-01,231028,99715,159011
1891-06-01,241072,106670,173046
1891-09-01,226148,118815,117463
1891-12-01,222712,133665,142337
1892-03-01,221142,86988,183552
1892-06-01,233432,121512,132749
1892-09-01,229962,118337,116690
1892-12-01,217900,134406,129720
1893-03-01,232259,81665,145076
1893-06-01,236449,119555,133777
1893-09-01,230499,118774,144355
1893-12-01,220915,123651,149785
1894-03-01,229968,96791,148779
1894-06-01,221996,108224,119315
1894-09-01,216844,121611,107994
1894-12-01,225655,131687,125443
1895-03-01,240652,80277,170975
1895-06-01,234158,122909,131100
1895-09-01,233391,123654,134564
1895-12-01,217912,135462,135378
1896-03-01,223702,87745,137417
1896-06-01,232143,133660,125586
1896-09-01,229593,131596,127222
1896-12-01,234105,138579,139167
1897-03-01,236369,90510,144016
1897-06-01,227420,139334,126892
1897-09-01,234498,133519,139804
1897-12-01,227631,141064,133378
1898-03-01,232880,91428,151406
1898-06-01,233674,142179,127822
1898-09-01,236338,134627,142456
1898-12-01,225068,149103,133323
1899-03-01,232177,90059,148101
1899-06-01,240553,146668,132415
1899-09-01,232888,145782,154566
1899-12-01,227388,148814,149773
1900-03-01,241389,88875,182272
1900-06-01,236061,144782,142376
1900-09-01,233975,141411,133929
1900-12-01,221212,146553,132680
1901-03-01,232581,89156,147104
1901-06-01,235140,146468,129352
1901-09-01,237149,146470,140477
1901-12-01,231014,144942,138122
1902-03-01,232837,109559,151570
1902-06-01,239341,126892,133439
1902-09-01,243188,145283,116022
1902-12-01,231938,149929,138077
1903-03-01,236463,92684,139099
1903-06-01,242904,148494,124502
1903-09-01,243264,146364,117545
1903-12-01,231838,143302,136847
1904-03-01,242207,91307,154442
1904-06-01,240414,145547,125492
1904-09-01,239700,144715,134757
1904-12-01,230389,142590,139564
1905-03-01,239548,91936,150191
1905-06-01,238454,144142,124393
1905-09-01,237006,148077,121929
1905-12-01,221268,146004,129381
1906-03-01,239486,92769,141620
1906-06-01,239254,151951,126397
1906-09-01,236705,155099,130562
1906-12-01,227756,151294,137069
1907-03-01,231421,108367,161207
1907-06-01,240818,142191,128267
1907-09-01,232783,161236,107671
1907-12-01,221905,152213,131099
1908-03-01,242382,97127,157629
1908-06-01,246299,150291,122158
1908-09-01,239560,150494,114875
1908-12-01,221489,143404,130221
1909-03-01,231556,92202,161879
1909-06-01,239887,146228,126247
1909-09-01,231438,150373,105562
1909-12-01,222100,142090,128419
1910-03-01,223795,115129,137360
1910-06-01,237033,124446,116546
1910-09-01,229346,156047,104954
1910-12-01,215467,150117,128064
1911-03-01,226122,91393,144191
1911-06-01,228239,154293,120920
1911-09-01,225686,158418,142274
1911-12-01,211790,156026,124774
1912-03-01,225229,91091,145653
1912-06-01,220603,151962,116621
1912-09-01,221837,169813,102466
1912-12-01,215365,164545,125593
1913-03-01,219242,123836,147551
1913-06-01,230133,134268,122499
1913-09-01,228003,170334,114240
1913-12-01,214264,155166,124046
1914-03-01,219938,104006,147075
1914-06-01,228847,165370,124962
1914-09-01,229802,167091,116352
1914-12-01,210897,163102,131810
1915-03-01,224472,113020,178683
1915-06-01,216058,197681,139672
1915-09-01,199092,209403,110501
1915-12-01,185624,215319,138224
1916-03-01,197711,138783,144212
1916-06-01,212080,152184,127545
1916-09-01,201258,137329,103282
1916-12-01,186025,142284,137726
1917-03-01,181191,103630,165241
1917-06-01,175898,129928,128892
1917-09-01,165021,141564,95433
1917-12-01,156281,151177,113832
1918-03-01,165172,133244,139229
1918-06-01,173124,136258,119513
1918-09-01,171353,160991,115495
1918-12-01,164478,152736,243291
1919-03-01,147470,122271,193288
1919-06-01,151293,205625,109201
1919-09-01,177956,215619,89712
1919-12-01,226416,206286,115465
1920-03-01,274460,140447,138446
1920-06-01,252283,220195,120047
1920-09-01,233347,222915,94191
1920-12-01,211714,186899,116199
1921-03-01,212936,154464,129961
1921-06-01,228840,144757,109030
1921-09-01,218203,181370,99726
1921-12-01,202372,170289,122469
1922-03-01,211200,102769,166378
1922-06-01,204088,167932,120873
1922-09-01,199397,182075,91403
1922-12-01,179693,155514,110570
1923-03-01,196373,108620,125453
1923-06-01,199978,151988,114757
1923-09-01,193139,176890,91829
1923-12-01,181352,155978,115490
1924-03-01,188694,95795,161188
1924-06-01,190410,164964,114867
1924-09-01,189979,182429,90684
1924-12-01,174166,158838,109429
1925-03-01,179029,94085,139181
1925-06-01,190500,166472,114058
1925-09-01,185487,183548,95761
1925-12-01,170086,157154,127099
1926-03-01,177539,94269,131408
1926-06-01,184840,159156,114555
1926-09-01,178491,170441,91356
1926-12-01,167794,145481,119509
1927-03-01,171245,97834,169974
1927-06-01,175448,172909,108339
1927-09-01,168394,186996,92963
1927-12-01,157095,170331,116871
1928-03-01,172587,92956,137287
1928-06-01,175749,172788,115695
1928-09-01,170344,192465,94439
1928-12-01,160128,160759,116479
1929-03-01,164230,111730,205814
1929-06-01,173894,154408,119717
1929-09-01,168096,205397,97493
1929-12-01,154350,168871,113474
1930-03-01,162914,100225,132977
1930-06-01,174877,179898,112250
1930-09-01,170106,200755,97095
1930-12-01,159110,163072,116595
1931-03-01,164303,95709,163400
1931-06-01,168808,173925,115500
1931-09-01,165931,202714,97453
1931-12-01,151998,164661,118880
1932-03-01,156075,127544,154549
1932-06-01,169358,141013,117158
1932-09-01,160248,193704,98708
1932-12-01,144149,165669,117334
1933-03-01,152751,91075,171295
1933-06-01,158458,174670,109511
1933-09-01,152273,210585,96491
1933-12-01,133740,174268,123041
1934-03-01,153623,120524,147200
1934-06-01,161042,173578,120039
1934-09-01,153534,222979,98483
1934-12-01,146628,182565,115259
1935-03-01,150866,105742,133745
1935-06-01,160876,200253,122938
1935-09-01,160113,225291,100913
1935-12-01,145453,182398,123707
1936-03-01,152614,102763,154830
1936-06-01,162590,205129,120445
1936-09-01,160339,235347,100721
1936-12-01,148360,181621,123679
1937-03-01,149737,144807,164935
1937-06-01,168829,164283,119433
1937-09-01,163398,247983,101185
1937-12-01,147099,178316,128060
1938-03-01,159743,107761,139130
1938-06-01,168985,209192,120178
1938-09-01,162984,238789,103437
1938-12-01,148267,186862,120411
1939-03-01,158681,97370,155504
1939-06-01,169676,210742,121759
1939-09-01,166371,313978,104259
1939-12-01,145901,281214,122985
1940-03-01,159313,223921,206912
1940-06-01,172360,239583,121001
1940-09-01,154494,270789,113187
1940-12-01,141187,231208,146607
1941-03-01,151595,167320,180615
1941-06-01,152543,217034,141669
1941-09-01,152812,215012,102368
1941-12-01,150091,200628,116190
1942-03-01,163288,181938,152730
1942-06-01,173512,207869,118088
1942-09-01,174538,197827,98180
1942-12-01,164953,173540,115868
1943-03-01,178399,130721,139134
1943-06-01,187308,170459,114312
1943-09-01,176144,169450,99713
1943-12-01,167397,145047,154357
1944-03-01,191387,131467,147992
1944-06-01,207340,171237,116938
1944-09-01,191323,171852,108673
1944-12-01,185980,156945,125002
1945-03-01,186326,160377,159441
1945-06-01,183868,207258,112388
1945-09-01,176256,247468,98526
1945-12-01,172561,212950,123907
1946-03-01,189587,164837,157324
1946-06-01,213064,210983,115381
1946-09-01,222588,231317,101709
1946-12-01,230565,206597,124090
1947-03-01,251614,165560,184074
1947-06-01,245576,237858,119467
1947-09-01,226377,260402,98357
1947-12-01,202239,213793,122600
1948-03-01,210710,211042,134419
1948-06-01,212546,205585,111818
1948-09-01,200553,268664,102840
1948-12-01,187602,189322,127020
1949-03-01,194744,181267,163580
1949-06-01,200362,208783,121729
1949-09-01,191496,247867,102759
1949-12-01,176566,183944,130124
1950-03-01,187603,191260,153527
1950-06-01,189151,177003,122526
1950-09-01,177404,249662,104549
1950-12-01,167181,167703,137372
1951-03-01,183297,239252,208639
1951-06-01,189039,145782,123397
1951-09-01,175045,241093,101534
1951-12-01,160506,162217,123599
1952-03-01,180521,234956,149155
1952-06-01,181618,154071,117025
1952-09-01,174995,225127,100029
1952-12-01,164265,154760,138432
1953-03-01,178506,206117,173701
1953-06-01,187014,168724,116267
1953-09-01,180014,229081,99904
1953-12-01,164884,151745,120682
1954-03-01,180680,209933,155106
1954-06-01,182432,162625,118705
1954-09-01,174073,225830,105448
1954-12-01,163450,147690,129145
1955-03-01,175886,220921,170688
1955-06-01,178037,164182,125763
1955-09-01,173770,218309,102977
1955-12-01,164094,155873,125889
