date,value
2025-01-08 17:15:11,301.6
2025-01-08 17:30:10,304.2
2025-01-08 17:45:11,310.8
2025-01-08 18:00:14,315.2
2025-01-08 18:15:10,316.7
2025-01-08 18:30:10,323.1
2025-01-08 18:45:11,324.9
2025-01-08 19:00:12,322.9
2025-01-08 19:15:11,324.0
2025-01-08 19:30:10,322.4
2025-01-08 19:45:10,325.7
2025-01-08 20:00:12,323.7
2025-01-08 20:15:10,324.5
2025-01-08 20:30:10,325.7
2025-01-08 20:45:11,326.7
2025-01-08 21:00:13,323.2
2025-01-08 21:15:11,322.9
2025-01-08 21:30:10,322.3
2025-01-08 21:45:11,321.9
2025-01-08 22:00:12,318.6
2025-01-08 22:15:11,315.4
2025-01-08 22:30:10,312.1
2025-01-08 22:45:10,314.4
2025-01-08 23:00:12,311.4
2025-01-08 23:15:11,309.0
2025-01-08 23:30:09,304.2
2025-01-08 23:45:11,302.1
2025-01-09 00:00:15,298.3
2025-01-09 00:15:11,297.2
2025-01-09 00:30:11,292.8
2025-01-09 00:45:11,291.1
2025-01-09 01:00:16,291.7
2025-01-09 01:15:11,291.1
2025-01-09 01:30:11,287.7
2025-01-09 01:45:11,285.3
2025-01-09 02:00:18,284.4
2025-01-09 02:15:11,283.0
2025-01-09 02:30:11,280.0
2025-01-09 02:45:10,277.9
2025-01-09 03:00:12,277.7
2025-01-09 03:15:11,276.8
2025-01-09 03:30:09,274.3
2025-01-09 03:45:10,276.2
2025-01-09 04:00:13,274.9
2025-01-09 04:15:11,275.1
2025-01-09 04:30:10,277.1
2025-01-09 04:45:11,277.0
2025-01-09 05:00:13,277.9
2025-01-09 05:15:10,280.7
2025-01-09 05:30:10,282.1
2025-01-09 05:45:09,285.1
2025-01-09 06:00:11,285.8
2025-01-09 06:15:11,286.4
2025-01-09 06:30:10,288.1
2025-01-09 06:45:10,290.1
2025-01-09 07:00:12,294.1
2025-01-09 07:15:10,296.0
2025-01-09 07:30:10,297.6
2025-01-09 07:45:09,297.4
2025-01-09 08:00:11,303.2
2025-01-09 08:15:10,306.4
