DATE,SNAP_Recipients,Weekly_Hours_Manufacturing,LFPR_Male,LFPR_Female,Subprime_Auto_Delinquency,Gini_Index,SNAP_Recipients_C,Weekly_Hours_Manufacturing_C,LFPR_Male_C,LFPR_Female_C,Subprime_Auto_Delinquency_C,Gini_Index_C
2012-01-01,4.1391005835908,0.0072289156626506035,-0.06524633821571224,-0.03993344425956735,1.5336538461538458,0.01995012468827917,2.1912773487697637,-0.017015346822788876,-0.004688182103530433,0.000581093752459301,1.4588333635880684,0.012473804217222259
2013-01-01,3.675706143921839,0.02211302211302213,-0.06266666666666676,-0.043261231281198076,0.8223140495867769,0.0,1.7278829091008026,-0.00213124037241735,-0.002108510554484952,-0.0027466932691714227,0.7474935670209994,-0.007476320471056911
2014-01-01,2.7292606920266502,0.03482587064676612,-0.06486486486486487,-0.04201680672268904,0.20363636363636362,0.027227722772277252,0.781437457205614,0.010581608161326642,-0.004306708752683061,-0.0015022687106623842,0.12881588107058622,0.01975140230122034
2015-01-01,2.1067570621468925,0.042183622828784184,-0.05714285714285716,-0.04690117252931325,-0.019685039370078705,0.009803921568627638,0.15893382732585626,0.017939360343344705,0.0034152989693246455,-0.006386634517286598,-0.09450552193585611,0.002327601097570727
2016-01-01,1.5245509905187693,0.02444987775061125,-0.0651289009497964,-0.03722504230118451,0.1071428571428572,0.01985111662531036,-0.42327224430226695,0.00020561526517176923,-0.00457074483761459,0.0032894957108421455,0.0323223745770798,0.01237479615425345
2017-01-01,1.178726434287264,0.029484029484029284,-0.05342465753424663,-0.03722504230118451,0.20624999999999982,0.004878048780487809,-0.7690968005337722,0.0052397669985898045,0.007133498577935174,0.0032894957108421455,0.13142951743422243,-0.002598271690569102
2018-01-01,0.979925144607009,0.02195121951219514,-0.05994550408719357,-0.040609137055837574,0.13907284768211925,0.0,-0.9678980902140273,-0.002293042973244338,0.0006126520249882389,-9.459904381092094e-05,0.06425236511634184,-0.007476320471056911
2019-01-01,0.76941237346787,0.024390243902439046,-0.06368563685636863,-0.03361344537815125,-0.12068965517241381,0.0171568627450982,-1.1784108613531663,0.0001459814169995667,-0.003127480744186825,0.006901092633875401,-0.1955101377381912,0.00968054227404129
2020-01-01,1.56375222768267,0.0048661800486617945,-0.05722070844686655,-0.02857142857142858,-0.4755244755244755,-0.026960784313725394,-0.38407100713836617,-0.019378082436777685,0.0033374476653152546,0.011943109440598072,-0.550344958090253,-0.034437104784782305
2021-01-01,1.7604725904824514,0.04785894206549113,-0.06906077348066297,-0.06228956228956217,-0.7393617021276595,-0.02216748768472898,-0.18735064433858484,0.02361467958005165,-0.008502617368481166,-0.02177502427753552,-0.814182184693437,-0.029643808155785892
2022-01-01,0.9983913402991806,0.007334963325183574,-0.047752808988764106,-0.03401360544217691,-0.8337837837837838,0.03249999999999997,-0.9494318945218556,-0.016909299160255905,0.012805347123417701,0.006500932569849745,-0.9086042663495613,0.025023679528943063
