year,national,region_id,state_id,station_id,Ridership
2005,US,Midwest,Illinois,"Alton, Illinois",16683.0
2005,US,Midwest,Illinois,"Bloomington/Normal, Illinois",47201.0
2005,US,Midwest,Illinois,"Carbondale, Illinois",38905.0
2005,US,Midwest,Illinois,"Carlinville, Illinois",2680.0
2005,US,Midwest,Illinois,"Centralia, Illinois",5926.0
2005,US,Midwest,Illinois,"Champaign-Urbana, Illinois",39863.0
2005,US,Midwest,Illinois,"Chicago, Illinois",1226962.0
2005,US,Midwest,Illinois,"Du Quoin, Illinois",2103.0
2005,US,Midwest,Illinois,"Dwight, Illinois",2263.0
2005,US,Midwest,Illinois,"Effingham, Illinois",5179.0
2005,US,Midwest,Illinois,"Galesburg, Illinois",36489.0
2005,US,Midwest,Illinois,"Gilman, Illinois",474.0
2005,US,Midwest,Illinois,"Glenview, Illinois",20617.0
2005,US,Midwest,Illinois,"Homewood, Illinois",11013.0
2005,US,Midwest,Illinois,"Joliet, Illinois",11824.0
2005,US,Midwest,Illinois,"Kankakee, Illinois",4002.0
2005,US,Midwest,Illinois,"Kewanee, Illinois",3859.0
2005,US,Midwest,Illinois,"La Grange Road, Illinois",3391.0
2005,US,Midwest,Illinois,"Lincoln, Illinois",7421.0
2005,US,Midwest,Illinois,"Macomb, Illinois",19121.0
2005,US,Midwest,Illinois,"Mattoon, Illinois",7730.0
2005,US,Midwest,Illinois,"Mendota, Illinois",5820.0
2005,US,Midwest,Illinois,"Naperville, Illinois",17641.0
2005,US,Midwest,Illinois,"Plano, Illinois",1062.0
2005,US,Midwest,Illinois,"Pontiac, Illinois",3911.0
2005,US,Midwest,Illinois,"Princeton, Illinois",9493.0
2005,US,Midwest,Illinois,"Quincy, Illinois",14942.0
2005,US,Midwest,Illinois,"Rantoul, Illinois",412.0
2005,US,Midwest,Illinois,"Springfield, Illinois",52929.0
2005,US,Midwest,Illinois,"Summit, Illinois",1660.0
2005,US,Midwest,Indiana,"Connersville, Indiana",222.0
2005,US,Midwest,Indiana,"Crawfordsville (Bus), Indiana",1598.0
2005,US,Midwest,Indiana,"Dyer, Indiana",533.0
2005,US,Midwest,Indiana,"Elkhart, Indiana",4197.0
2005,US,Midwest,Indiana,"Hammond-Whiting, Indiana",4669.0
2005,US,Midwest,Indiana,"Indianapolis, Indiana",12208.0
2005,US,Midwest,Indiana,"Lafayette, Indiana",6236.0
2005,US,Midwest,Indiana,"Michigan City, Indiana",1217.0
2005,US,Midwest,Indiana,"Nappanee, Indiana",616.0
2005,US,Midwest,Indiana,"Rensselaer, Indiana",565.0
2005,US,Midwest,Indiana,"South Bend, Indiana",9411.0
2005,US,Midwest,Indiana,"Waterloo, Indiana",9380.0
2005,US,Midwest,Iowa,"Burlington, Iowa",3244.0
2005,US,Midwest,Iowa,"Creston, Iowa",2308.0
2005,US,Midwest,Iowa,"Fort Madison, Iowa",5005.0
2005,US,Midwest,Iowa,"Mount Pleasant, Iowa",6423.0
2005,US,Midwest,Iowa,"Osceola, Iowa",7904.0
2005,US,Midwest,Iowa,"Ottumwa, Iowa",5404.0
2005,US,Midwest,Kansas,"Dodge City, Kansas",1792.0
2005,US,Midwest,Kansas,"Garden City, Kansas",2883.0
2005,US,Midwest,Kansas,"Hutchinson, Kansas",1774.0
2005,US,Midwest,Kansas,"Lawrence, Kansas",1666.0
2005,US,Midwest,Kansas,"Newton, Kansas",6549.0
2005,US,Midwest,Kansas,"Topeka, Kansas",3080.0
2005,US,Midwest,Michigan,"Albion, Michigan",888.0
2005,US,Midwest,Michigan,"Ann Arbor, Michigan",64904.0
2005,US,Midwest,Michigan,"Bangor, Michigan",1655.0
2005,US,Midwest,Michigan,"Battle Creek, Michigan",23221.0
2005,US,Midwest,Michigan,"Birmingham, Michigan",9118.0
2005,US,Midwest,Michigan,"Dearborn, Michigan",35163.0
2005,US,Midwest,Michigan,"Detroit, Michigan",28585.0
2005,US,Midwest,Michigan,"Dowagiac, Michigan",898.0
2005,US,Midwest,Michigan,"Durand, Michigan",3402.0
2005,US,Midwest,Michigan,"East Lansing, Michigan",20168.0
2005,US,Midwest,Michigan,"Flint, Michigan",11222.0
2005,US,Midwest,Michigan,"Grand Rapids, Michigan",25240.0
2005,US,Midwest,Michigan,"Greenfield Village, Michigan",322.0
2005,US,Midwest,Michigan,"Holland, Michigan",17421.0
2005,US,Midwest,Michigan,"Jackson, Michigan",12639.0
2005,US,Midwest,Michigan,"Kalamazoo, Michigan",44646.0
2005,US,Midwest,Michigan,"Lapeer, Michigan",2815.0
2005,US,Midwest,Michigan,"New Buffalo, Michigan",708.0
2005,US,Midwest,Michigan,"Niles, Michigan",8366.0
2005,US,Midwest,Michigan,"Pontiac, Michigan",7336.0
2005,US,Midwest,Michigan,"Port Huron, Michigan",5088.0
2005,US,Midwest,Michigan,"Royal Oak, Michigan",10677.0
2005,US,Midwest,Michigan,"St. Joseph/Benton Harbor, Michigan",3697.0
2005,US,Midwest,Minnesota,"Detroit Lakes, Minnesota",1707.0
2005,US,Midwest,Minnesota,"Duluth, Minnesota",500.0
2005,US,Midwest,Minnesota,"Red Wing, Minnesota",4544.0
2005,US,Midwest,Minnesota,"St. Cloud, Minnesota",5764.0
2005,US,Midwest,Minnesota,"St. Paul-Minneapolis, Minnesota",67507.0
2005,US,Midwest,Minnesota,"Staples, Minnesota",2613.0
2005,US,Midwest,Minnesota,"Winona, Minnesota",10590.0
2005,US,Midwest,Missouri,"Hermann, Missouri",5073.0
2005,US,Midwest,Missouri,"Independence, Missouri",2660.0
2005,US,Midwest,Missouri,"Jefferson City, Missouri",20591.0
