date,value,weather_temp_mean,weather_precip_sum,weather_wind_mean,holiday_count,is_weekend,weather_temp_mean_lag1,weather_temp_mean_lag3,weather_precip_sum_lag1,weather_precip_sum_lag3,weather_wind_mean_lag1,weather_wind_mean_lag3,holiday_count_lag1,holiday_count_lag3,is_weekend_lag1,is_weekend_lag3,season_sin,season_cos,value_lag1,value_lag2,value_lag12,value_roll_mean_3,value_roll_mean_6,value_roll_mean_12,Days,target,predictor,var1,var2,Industrial_Production,Consumer_Price_Index,Oil,API_WELLNO,ReportDate
2001-01-01,31001.28,8.444161290322581,99.33700000000002,12.569774193548389,2,0.2580645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0,31001.28,0.0,31001.28,0.0,31001.28,0.0,31001.28,entity_001,2001-01-01
2001-02-01,25626.521,13.391535714285714,98.378,14.35057142857143,1,0.2857142857142857,8.444161290322581,0.0,99.33700000000002,0.0,12.569774193548389,0.0,2.0,0.0,0.2580645161290322,0.0,0.8660254037844386,0.5000000000000001,31001.28,0.0,0.0,0.0,0.0,0.0,31,25626.521,31001.28,25626.521,31001.28,25626.521,31001.28,25626.521,entity_001,2001-02-01
2001-03-01,27580.339,12.699806451612906,125.73600000000002,11.817741935483872,0,0.2903225806451613,13.391535714285714,0.0,98.378,0.0,14.35057142857143,0.0,1.0,0.0,0.2857142857142857,0.0,1.0,6.123233995736766e-17,25626.521,31001.28,0.0,28069.38,0.0,0.0,59,27580.339,25626.521,27580.339,25626.521,27580.339,25626.521,27580.339,entity_001,2001-03-01
2001-04-01,27486.315,20.9901,49.59700000000001,15.655233333333337,0,0.3,12.699806451612906,8.444161290322581,125.73600000000002,99.33700000000002,11.817741935483872,12.569774193548389,0.0,2.0,0.2903225806451613,0.2580645161290322,0.8660254037844387,-0.49999999999999983,27580.339,25626.521,0.0,26897.725000000002,0.0,0.0,90,27486.315,27580.339,27486.315,27580.339,27486.315,27580.339,27486.315,entity_001,2001-04-01
2001-05-01,31583.459,23.79551612903226,104.54100000000004,13.488548387096776,1,0.2580645161290322,20.9901,13.391535714285714,49.59700000000001,98.378,15.655233333333337,14.35057142857143,0.0,1.0,0.3,0.2857142857142857,0.49999999999999994,-0.8660254037844387,27486.315,27580.339,0.0,28883.371,0.0,0.0,120,31583.459,27486.315,31583.459,27486.315,31583.459,27486.315,31583.459,entity_001,2001-05-01
2001-06-01,34619.506,26.563800000000004,81.51,12.135033333333334,0,0.3,23.79551612903226,12.699806451612906,104.54100000000004,125.73600000000002,13.488548387096776,11.817741935483872,1.0,0.0,0.2580645161290322,0.2903225806451613,1.2246467991473532e-16,-1.0,31583.459,27486.315,0.0,31229.76,29649.569999999996,0.0,151,34619.506,31583.459,34619.506,31583.459,34619.506,31583.459,34619.506,entity_001,2001-06-01
2001-07-01,39939.836,29.489967741935487,38.150000000000006,10.610645161290323,1,0.2903225806451613,26.563800000000004,20.9901,81.51,49.59700000000001,12.135033333333334,15.655233333333337,0.0,0.0,0.3,0.3,-0.4999999999999998,-0.8660254037844388,34619.506,31583.459,0.0,35380.93366666667,31139.32933333333,0.0,181,39939.836,34619.506,39939.836,34619.506,39939.836,34619.506,39939.836,entity_001,2001-07-01
2001-08-01,39376.594,29.134354838709683,109.471,10.408548387096776,0,0.2580645161290322,29.489967741935487,23.79551612903226,38.150000000000006,104.54100000000004,10.610645161290323,13.488548387096776,1.0,1.0,0.2903225806451613,0.2580645161290322,-0.8660254037844384,-0.5000000000000004,39939.836,34619.506,0.0,37978.64533333333,33431.00816666667,0.0,212,39376.594,39939.836,39376.594,39939.836,39376.594,39939.836,39376.594,entity_001,2001-08-01
2001-09-01,32471.977,23.9951,102.27500000000002,9.456766666666669,1,0.3333333333333333,29.134354838709683,26.563800000000004,109.471,81.51,10.408548387096776,12.135033333333334,0.0,0.0,0.2580645161290322,0.3,-1.0,-1.8369701987210297e-16,39376.594,39939.836,0.0,37262.80233333333,34246.28116666667,0.0,243,32471.977,39376.594,32471.977,39376.594,32471.977,39376.594,32471.977,entity_001,2001-09-01
2001-10-01,28083.635,19.16377419354839,90.818,12.35151612903226,1,0.2580645161290322,23.9951,29.489967741935487,102.27500000000002,38.150000000000006,9.456766666666669,10.610645161290323,1.0,1.0,0.3333333333333333,0.2903225806451613,-0.8660254037844386,0.5000000000000001,32471.977,39376.594,0.0,33310.73533333333,34345.834500000004,0.0,273,28083.635,32471.977,28083.635,32471.977,28083.635,32471.977,28083.635,entity_001,2001-10-01
