,year,value,negative,positive,Topic
,1938,3.65864881522222E-05,,,economy_frequency
,1939,3.88029511668719E-05,,,economy_frequency
,1940,4.16384251106397E-05,,,economy_frequency
,1941,4.4775826868967E-05,,,economy_frequency
,1942,4.85603652902812E-05,,,economy_frequency
,1943,5.17007969652436E-05,,,economy_frequency
,1944,5.57593505488642E-05,,,economy_frequency
,1945,5.87460609884667E-05,,,economy_frequency
,1946,6.19473783964557E-05,,,economy_frequency
,1947,6.4602310365964E-05,,,economy_frequency
,1948,6.69681519087005E-05,,,economy_frequency
,1949,6.80853357023027E-05,,,economy_frequency
,1950,6.98103779411343E-05,,,economy_frequency
,1951,6.97215468140452E-05,,,economy_frequency
,1952,7.10937601979822E-05,,,economy_frequency
,1953,7.20749282793674E-05,,,economy_frequency
,1954,7.29729228104199E-05,,,economy_frequency
,1955,7.43313461758329E-05,,,economy_frequency
,1956,7.60054608690552E-05,,,economy_frequency
,1957,7.73976768998961E-05,,,economy_frequency
,1958,7.91034835856408E-05,,,economy_frequency
,1959,8.02296126494184E-05,,,economy_frequency
,1960,8.11456577918891E-05,,,economy_frequency
,1961,8.23463612635221E-05,,,economy_frequency
,1962,8.2379872245448E-05,,,economy_frequency
,1963,8.30970457172953E-05,,,economy_frequency
,1964,8.32544277987576E-05,,,economy_frequency
,1965,8.29628697829321E-05,,,economy_frequency
,1966,8.20741884776258E-05,,,economy_frequency
,1967,8.12844861814353E-05,,,economy_frequency
,1968,8.10001999655339E-05,,,economy_frequency
,1969,8.04510190001955E-05,,,economy_frequency
,1970,7.99712984839321E-05,,,economy_frequency
,1971,8.08418574576665E-05,,,economy_frequency
,1972,8.32840492616275E-05,,,economy_frequency
,1973,8.50694237409958E-05,,,economy_frequency
,1974,8.66477223878194E-05,,,economy_frequency
,1975,8.74443680264189E-05,,,economy_frequency
,1976,8.92679028246286E-05,,,economy_frequency
,1977,9.08938693880503E-05,,,economy_frequency
,1978,9.17594432913964E-05,,,economy_frequency
,1979,9.18015534157998E-05,,,economy_frequency
,1980,9.23468230342093E-05,,,economy_frequency
,1981,9.25377441620055E-05,,,economy_frequency
,1982,9.27584977554423E-05,,,economy_frequency
,1983,9.28445692157506E-05,,,economy_frequency
,1984,9.19674774715012E-05,,,economy_frequency
,1985,9.16311827105736E-05,,,economy_frequency
,1986,9.07035812685665E-05,,,economy_frequency
,1987,9.1119999914164E-05,,,economy_frequency
,1988,9.24345378215159E-05,,,economy_frequency
,1989,9.43792474572547E-05,,,economy_frequency
,1990,9.56403133126774E-05,,,economy_frequency
,1991,9.69954063683482E-05,,,economy_frequency
,1992,9.69595047146348E-05,,,economy_frequency
,1993,9.64480464712584E-05,,,economy_frequency
,1994,9.53539285027156E-05,,,economy_frequency
,1995,9.38230597447338E-05,,,economy_frequency
,1996,9.18139183860538E-05,,,economy_frequency
,1997,9.01214765950239E-05,,,economy_frequency
,1998,8.89792487820766E-05,,,economy_frequency
,1999,8.84947410668246E-05,,,economy_frequency
,2000,8.86663710844005E-05,,,economy_frequency
,1800,1.41452960633615E-05,,,equality_frequency
,1801,1.42376813528244E-05,,,equality_frequency
,1802,1.42862213579065E-05,,,equality_frequency
,1803,1.4260423345799E-05,,,equality_frequency
,1804,1.4377509744788E-05,,,equality_frequency
,1805,1.34806541609578E-05,,,equality_frequency
,1806,1.30862841355598E-05,,,equality_frequency
,1807,1.2712554052996E-05,,,equality_frequency
,1808,1.20502259700775E-05,,,equality_frequency
,1809,1.14320151364414E-05,,,equality_frequency
,1810,1.1022688990384E-05,,,equality_frequency
,1811,1.08345019335892E-05,,,equality_frequency
,1812,1.09225566120585E-05,,,equality_frequency
,1813,1.06707849616734E-05,,,equality_frequency
,1814,1.1514869324206E-05,,,equality_frequency
,1815,1.19841960050897E-05,,,equality_frequency
,1816,1.22228070072846E-05,,,equality_frequency
,1817,1.22772289614659E-05,,,equality_frequency
,1818,1.21798019400947E-05,,,equality_frequency
,1819,1.23229256132618E-05,,,equality_frequency
,1820,1.26844406622695E-05,,,equality_frequency
,1821,1.20751954974756E-05,,,equality_frequency
,1822,1.2060844840432E-05,,,equality_frequency
,1823,1.23632483207205E-05,,,equality_frequency
,1824,1.24895403652252E-05,,,equality_frequency
,1825,1.27278563013533E-05,,,equality_frequency
,1826,1.29404461404192E-05,,,equality_frequency
,1827,1.28729342187788E-05,,,equality_frequency
,1828,1.29871414173977E-05,,,equality_frequency
,1829,1.30842115270622E-05,,,equality_frequency
,1830,1.30207204814984E-05,,,equality_frequency
,1831,1.2986420967666E-05,,,equality_frequency
,1832,1.29830299816344E-05,,,equality_frequency
,1833,1.3418359620638E-05,,,equality_frequency
,1834,1.35079461480408E-05,,,equality_frequency
,1835,1.35544111929318E-05,,,equality_frequency
,1836,1.34692636493128E-05,,,equality_frequency
,1837,1.36289487012878E-05,,,equality_frequency
,1838,1.38132301279776E-05,,,equality_frequency
,1839,1.37475092612606E-05,,,equality_frequency
,1840,1.33712498739312E-05,,,equality_frequency
,1841,1.32220956012523E-05,,,equality_frequency
,1842,1.33601939264086E-05,,,equality_frequency
,1843,1.31534214753109E-05,,,equality_frequency
,1844,1.26852933785163E-05,,,equality_frequency
,1845,1.28440963505584E-05,,,equality_frequency
,1846,1.29955121467771E-05,,,equality_frequency
,1847,1.29237927727185E-05,,,equality_frequency
,1848,1.29968921100954E-05,,,equality_frequency
,1849,1.28874244182953E-05,,,equality_frequency
,1850,1.31180538249152E-05,,,equality_frequency
,1851,1.33515999810438E-05,,,equality_frequency
,1852,1.30339295927635E-05,,,equality_frequency
,1853,1.30600153300163E-05,,,equality_frequency
,1854,1.28708847374323E-05,,,equality_frequency
,1855,1.27407778823648E-05,,,equality_frequency
,1856,1.25364074067745E-05,,,equality_frequency
,1857,1.25028488712685E-05,,,equality_frequency
,1858,1.23936741666902E-05,,,equality_frequency
,1859,1.22789659664185E-05,,,equality_frequency
,1860,1.21833261021363E-05,,,equality_frequency
,1861,1.2253128001508E-05,,,equality_frequency
,1862,1.22805102884221E-05,,,equality_frequency
,1863,1.25245729317872E-05,,,equality_frequency
,1864,1.23480367619777E-05,,,equality_frequency
,1865,1.2597823635068E-05,,,equality_frequency
,1866,1.30361879980358E-05,,,equality_frequency
,1867,1.29116707674776E-05,,,equality_frequency
,1868,1.27979293600739E-05,,,equality_frequency
,1869,1.29641756367554E-05,,,equality_frequency
,1870,1.28414356887723E-05,,,equality_frequency
,1871,1.28028968902072E-05,,,equality_frequency
,1872,1.2296268193625E-05,,,equality_frequency
,1873,1.17192079674818E-05,,,equality_frequency
,1874,1.1480531091885E-05,,,equality_frequency
,1875,1.13961076359763E-05,,,equality_frequency
,1876,1.10246086738438E-05,,,equality_frequency
,1877,1.07622089282294E-05,,,equality_frequency
,1878,1.06514400093667E-05,,,equality_frequency
,1879,1.05553249990667E-05,,,equality_frequency
,1880,1.04565763519661E-05,,,equality_frequency
,1881,1.04341029977409E-05,,,equality_frequency
,1882,1.02787111505417E-05,,,equality_frequency
,1883,1.0341675078962E-05,,,equality_frequency
,1884,1.01993585173789E-05,,,equality_frequency
,1885,1.00993950452123E-05,,,equality_frequency
,1886,1.01971294757927E-05,,,equality_frequency
,1887,1.03348598453782E-05,,,equality_frequency
,1888,1.02607032853744E-05,,,equality_frequency
,1889,1.02862877611187E-05,,,equality_frequency
,1890,1.02120347946766E-05,,,equality_frequency
,1891,1.0459080970447E-05,,,equality_frequency
,1892,1.04580835146148E-05,,,equality_frequency
,1893,1.03415467102812E-05,,,equality_frequency
,1894,1.01871683000354E-05,,,equality_frequency
,1895,1.01771134463239E-05,,,equality_frequency
,1896,1.0124776833566E-05,,,equality_frequency
,1897,1.01489093659828E-05,,,equality_frequency
,1898,9.97466057534829E-06,,,equality_frequency
,1899,9.90631113901535E-06,,,equality_frequency
,1900,9.91823591383374E-06,,,equality_frequency
,1901,9.83918198471656E-06,,,equality_frequency
,1902,9.71725564470814E-06,,,equality_frequency
,1903,9.60414776532811E-06,,,equality_frequency
,1904,9.41239574915796E-06,,,equality_frequency
,1905,9.36584001465235E-06,,,equality_frequency
,1906,9.2462244408255E-06,,,equality_frequency
,1907,9.16709281487524E-06,,,equality_frequency
,1908,9.08581309236719E-06,,,equality_frequency
,1909,9.16775596644064E-06,,,equality_frequency
,1910,9.2071521586539E-06,,,equality_frequency
,1911,9.27226145514786E-06,,,equality_frequency
,1912,9.04839907889254E-06,,,equality_frequency
,1913,8.99819237279839E-06,,,equality_frequency
,1914,8.97060583935984E-06,,,equality_frequency
,1915,9.21114263162183E-06,,,equality_frequency
,1916,9.3925284870368E-06,,,equality_frequency
,1917,9.61945040346888E-06,,,equality_frequency
,1918,9.74687749736144E-06,,,equality_frequency
,1919,9.98148347467317E-06,,,equality_frequency
,1920,1.01904939323763E-05,,,equality_frequency
,1921,1.05127393388622E-05,,,equality_frequency
,1922,1.05003299332956E-05,,,equality_frequency
,1923,1.05014110626403E-05,,,equality_frequency
,1924,1.04578202808625E-05,,,equality_frequency
,1925,1.05125489946139E-05,,,equality_frequency
,1926,1.08092095355719E-05,,,equality_frequency
,1927,1.09622861990439E-05,,,equality_frequency
,1928,1.08833890927989E-05,,,equality_frequency
,1929,1.10576621799347E-05,,,equality_frequency
,1930,1.11740354051498E-05,,,equality_frequency
,1931,1.13930079481049E-05,,,equality_frequency
,1932,1.15696848297375E-05,,,equality_frequency
,1933,1.15275997814024E-05,,,equality_frequency
,1934,1.16055429576331E-05,,,equality_frequency
,1935,1.17122430570557E-05,,,equality_frequency
,1936,1.16611711616445E-05,,,equality_frequency
,1937,1.15670584688944E-05,,,equality_frequency
,1938,1.14199143094343E-05,,,equality_frequency
,1939,1.14921623597703E-05,,,equality_frequency
,1940,1.18649379926085E-05,,,equality_frequency
,1941,1.21222219604533E-05,,,equality_frequency
,1942,1.25093374663265E-05,,,equality_frequency
,1943,1.27756247820798E-05,,,equality_frequency
,1944,1.32112527353456E-05,,,equality_frequency
,1945,1.34108972166099E-05,,,equality_frequency
,1946,1.3275172152914E-05,,,equality_frequency
,1947,1.30015956269095E-05,,,equality_frequency
,1948,1.2800772180656E-05,,,equality_frequency
,1949,1.260840638549E-05,,,equality_frequency
,1950,1.24321973739175E-05,,,equality_frequency
,1951,1.20350517006175E-05,,,equality_frequency
,1952,1.19079214917812E-05,,,equality_frequency
,1953,1.20536099400072E-05,,,equality_frequency
,1954,1.19596019690757E-05,,,equality_frequency
,1955,1.1956229172938E-05,,,equality_frequency
,1956,1.19355315421542E-05,,,equality_frequency
,1957,1.20818329898092E-05,,,equality_frequency
,1958,1.23660111057688E-05,,,equality_frequency
,1959,1.26970962810447E-05,,,equality_frequency
,1960,1.30197261439337E-05,,,equality_frequency
,1961,1.35435792409615E-05,,,equality_frequency
,1962,1.39560940754434E-05,,,equality_frequency
,1963,1.4253522749641E-05,,,equality_frequency
,1964,1.455334781245E-05,,,equality_frequency
,1965,1.49331081047421E-05,,,equality_frequency
,1966,1.53007731569232E-05,,,equality_frequency
,1967,1.55090214580663E-05,,,equality_frequency
,1968,1.56697864700358E-05,,,equality_frequency
,1969,1.58399783945892E-05,,,equality_frequency
,1970,1.59706972096631E-05,,,equality_frequency
,1971,1.60754913979742E-05,,,equality_frequency
,1972,1.61442026832706E-05,,,equality_frequency
,1973,1.59860898877793E-05,,,equality_frequency
,1974,1.58965631271712E-05,,,equality_frequency
,1975,1.57637581911071E-05,,,equality_frequency
,1976,1.56361165863927E-05,,,equality_frequency
,1977,1.5527100523676E-05,,,equality_frequency
,1978,1.53712085843186E-05,,,equality_frequency
,1979,1.51128450462628E-05,,,equality_frequency
,1980,1.50683113783348E-05,,,equality_frequency
,1981,1.4904990946109E-05,,,equality_frequency
,1982,1.48334728302351E-05,,,equality_frequency
,1983,1.47791796345181E-05,,,equality_frequency
,1984,1.47994322625371E-05,,,equality_frequency
,1985,1.4815566438691E-05,,,equality_frequency
,1986,1.48611015902134E-05,,,equality_frequency
,1987,1.48526279580048E-05,,,equality_frequency
,1988,1.50028599819052E-05,,,equality_frequency
,1989,1.51289503784418E-05,,,equality_frequency
,1990,1.53151065335676E-05,,,equality_frequency
,1991,1.55297546890714E-05,,,equality_frequency
,1992,1.5893327404878E-05,,,equality_frequency
,1993,1.63509369355909E-05,,,equality_frequency
,1994,1.67585694725858E-05,,,equality_frequency
,1995,1.71682183593345E-05,,,equality_frequency
,1996,1.76132928442842E-05,,,equality_frequency
,1997,1.80706982584005E-05,,,equality_frequency
,1998,1.83263697787576E-05,,,equality_frequency
,1999,1.85412020073272E-05,,,equality_frequency
,2000,1.86531110557553E-05,,,equality_frequency
,1800,3.73332301251139E-06,,,democracy_frequency
,1801,3.82460725631972E-06,,,democracy_frequency
,1802,3.72758821261717E-06,,,democracy_frequency
,1803,3.68647556570068E-06,,,democracy_frequency
,1804,3.54814509202177E-06,,,democracy_frequency
,1805,3.29866267228291E-06,,,democracy_frequency
,1806,3.28131526267888E-06,,,democracy_frequency
,1807,3.17536513908375E-06,,,democracy_frequency
,1808,3.01389968626609E-06,,,democracy_frequency
,1809,2.86585743326993E-06,,,democracy_frequency
,1810,2.74211830791111E-06,,,democracy_frequency
,1811,2.91831780227117E-06,,,democracy_frequency
,1812,2.82035456880944E-06,,,democracy_frequency
,1813,2.62880062759255E-06,,,democracy_frequency
,1814,2.80580252365326E-06,,,democracy_frequency
,1815,3.01807215562024E-06,,,democracy_frequency
,1816,3.08362690962635E-06,,,democracy_frequency
,1817,3.12497273366067E-06,,,democracy_frequency
,1818,2.88636588915584E-06,,,democracy_frequency
,1819,3.0370515885027E-06,,,democracy_frequency
,1820,3.4183077072417E-06,,,democracy_frequency
,1821,3.19636644365216E-06,,,democracy_frequency
,1822,3.01902813199766E-06,,,democracy_frequency
,1823,2.99240897610226E-06,,,democracy_frequency
,1824,2.9459287296569E-06,,,democracy_frequency
,1825,2.9371593167785E-06,,,democracy_frequency
,1826,3.14212836981044E-06,,,democracy_frequency
,1827,3.13229991531573E-06,,,democracy_frequency
,1828,3.57972323529663E-06,,,democracy_frequency
,1829,3.86014919838219E-06,,,democracy_frequency
,1830,4.11246537623811E-06,,,democracy_frequency
,1831,4.27191405703655E-06,,,democracy_frequency
,1832,4.85022750191482E-06,,,democracy_frequency
,1833,5.16541737332383E-06,,,democracy_frequency
,1834,5.53004237450036E-06,,,democracy_frequency
,1835,5.71608191941258E-06,,,democracy_frequency
,1836,5.87392212634898E-06,,,democracy_frequency
,1837,6.31109979362269E-06,,,democracy_frequency
,1838,6.72342814920869E-06,,,democracy_frequency
,1839,6.47259944993753E-06,,,democracy_frequency
,1840,6.43326718220903E-06,,,democracy_frequency
,1841,6.19171253544794E-06,,,democracy_frequency
,1842,6.0447476763719E-06,,,democracy_frequency
,1843,5.9310145843483E-06,,,democracy_frequency
,1844,5.44638662956589E-06,,,democracy_frequency
,1845,5.46758207877117E-06,,,democracy_frequency
,1846,5.95590245211497E-06,,,democracy_frequency
,1847,5.88917886748927E-06,,,democracy_frequency
,1848,6.10937844872491E-06,,,democracy_frequency
,1849,6.19230487635442E-06,,,democracy_frequency
,1850,6.17475227824928E-06,,,democracy_frequency
,1851,6.38305872208938E-06,,,democracy_frequency
,1852,6.12343871710307E-06,,,democracy_frequency
,1853,5.73930466479007E-06,,,democracy_frequency
,1854,5.39550202509937E-06,,,democracy_frequency
,1855,4.88492621895732E-06,,,democracy_frequency
,1856,4.61301997997258E-06,,,democracy_frequency
,1857,4.45160084642079E-06,,,democracy_frequency
,1858,4.486047568467E-06,,,democracy_frequency
,1859,4.55471065054423E-06,,,democracy_frequency
,1860,4.54473674186115E-06,,,democracy_frequency
,1861,4.67093673250929E-06,,,democracy_frequency
,1862,4.9047190649227E-06,,,democracy_frequency
,1863,5.19945147711301E-06,,,democracy_frequency
,1864,5.4144369252234E-06,,,democracy_frequency
,1865,5.20954855736428E-06,,,democracy_frequency
,1866,5.08997598964405E-06,,,democracy_frequency
,1867,4.82945321372037E-06,,,democracy_frequency
,1868,4.74790850343457E-06,,,democracy_frequency
,1869,4.63820258898652E-06,,,democracy_frequency
,1870,4.2993800174632E-06,,,democracy_frequency
,1871,4.03996932618611E-06,,,democracy_frequency
,1872,4.00523520381414E-06,,,democracy_frequency
,1873,3.90947002415487E-06,,,democracy_frequency
,1874,4.01620432707465E-06,,,democracy_frequency
,1875,4.06072363797908E-06,,,democracy_frequency
,1876,3.95530342497555E-06,,,democracy_frequency
,1877,4.04954708496267E-06,,,democracy_frequency
,1878,4.05029949693666E-06,,,democracy_frequency
,1879,3.97377763355118E-06,,,democracy_frequency
,1880,3.93458010096635E-06,,,democracy_frequency
,1881,3.99942668341932E-06,,,democracy_frequency
,1882,4.2508694865059E-06,,,democracy_frequency
,1883,4.48722698820347E-06,,,democracy_frequency
,1884,4.46739064890218E-06,,,democracy_frequency
,1885,4.51445440116264E-06,,,democracy_frequency
,1886,4.69083430029319E-06,,,democracy_frequency
,1887,4.93062010978714E-06,,,democracy_frequency
,1888,5.01496989662493E-06,,,democracy_frequency
,1889,4.89922980965015E-06,,,democracy_frequency
,1890,4.89093242452197E-06,,,democracy_frequency
,1891,5.00244505019509E-06,,,democracy_frequency
,1892,5.06521239783199E-06,,,democracy_frequency
,1893,5.14948078489397E-06,,,democracy_frequency
,1894,5.14809127188138E-06,,,democracy_frequency
,1895,5.21402918301257E-06,,,democracy_frequency
,1896,5.40913034845809E-06,,,democracy_frequency
,1897,5.58484914238631E-06,,,democracy_frequency
,1898,5.71092160888449E-06,,,democracy_frequency
,1899,5.90316267334856E-06,,,democracy_frequency
,1900,5.99047585378035E-06,,,democracy_frequency
,1901,6.09626814756276E-06,,,democracy_frequency
,1902,6.10665756539675E-06,,,democracy_frequency
,1903,6.09343526645846E-06,,,democracy_frequency
,1904,6.26277661857395E-06,,,democracy_frequency
,1905,6.39739333304793E-06,,,democracy_frequency
,1906,6.52202438037161E-06,,,democracy_frequency
,1907,6.89177360462574E-06,,,democracy_frequency
,1908,7.17998812303579E-06,,,democracy_frequency
,1909,7.71841808143238E-06,,,democracy_frequency
,1910,8.09981072182252E-06,,,democracy_frequency
,1911,8.48364223721936E-06,,,democracy_frequency
,1912,9.18825526241562E-06,,,democracy_frequency
,1913,1.02625768444601E-05,,,democracy_frequency
,1914,1.25827504494477E-05,,,democracy_frequency
,1915,1.61843580437043E-05,,,democracy_frequency
,1916,1.91090380862339E-05,,,democracy_frequency
,1917,2.08490395639923E-05,,,democracy_frequency
,1918,2.16508191702555E-05,,,democracy_frequency
,1919,2.19168475398744E-05,,,democracy_frequency
,1920,2.17349565251165E-05,,,democracy_frequency
,1921,2.02552329418333E-05,,,democracy_frequency
,1922,1.71434808830132E-05,,,democracy_frequency
,1923,1.46429834525666E-05,,,democracy_frequency
,1924,1.3496195346566E-05,,,democracy_frequency
,1925,1.29273073201018E-05,,,democracy_frequency
,1926,1.27051402419706E-05,,,democracy_frequency
,1927,1.26591329327701E-05,,,democracy_frequency
,1928,1.23926148652182E-05,,,democracy_frequency
,1929,1.25642635404282E-05,,,democracy_frequency
,1930,1.26476957770397E-05,,,democracy_frequency
,1931,1.32042847066519E-05,,,democracy_frequency
,1932,1.40618266024311E-05,,,democracy_frequency
,1933,1.51020082869634E-05,,,democracy_frequency
,1934,1.6774585024645E-05,,,democracy_frequency
,1935,1.91472260796997E-05,,,democracy_frequency
,1936,2.25732943103399E-05,,,democracy_frequency
,1937,2.66211297587558E-05,,,democracy_frequency
,1938,3.06964879460533E-05,,,democracy_frequency
,1939,3.4115491351778E-05,,,democracy_frequency
,1940,3.67314215899179E-05,,,democracy_frequency
,1941,3.81431530383582E-05,,,democracy_frequency
,1942,3.8845698976989E-05,,,democracy_frequency
,1943,3.79094711076635E-05,,,democracy_frequency
,1944,3.64374981083009E-05,,,democracy_frequency
,1945,3.4242084439029E-05,,,democracy_frequency
,1946,3.2271762912777E-05,,,democracy_frequency
,1947,3.08458997356606E-05,,,democracy_frequency
,1948,2.95589621340956E-05,,,democracy_frequency
,1949,2.82583220853537E-05,,,democracy_frequency
,1950,2.71407009547277E-05,,,democracy_frequency
,1951,2.56176902309692E-05,,,democracy_frequency
,1952,2.41388383333937E-05,,,democracy_frequency
,1953,2.31694799107832E-05,,,democracy_frequency
,1954,2.18831529699466E-05,,,democracy_frequency
,1955,2.1053260622596E-05,,,democracy_frequency
,1956,2.03943904385337E-05,,,democracy_frequency
,1957,2.03843722244658E-05,,,democracy_frequency
,1958,2.04907381495494E-05,,,democracy_frequency
,1959,2.0835141965238E-05,,,democracy_frequency
,1960,2.09207514022377E-05,,,democracy_frequency
,1961,2.13993017886034E-05,,,democracy_frequency
,1962,2.16674213463973E-05,,,democracy_frequency
,1963,2.17039029978748E-05,,,democracy_frequency
,1964,2.14210072694446E-05,,,democracy_frequency
,1965,2.14399886837262E-05,,,democracy_frequency
,1966,2.11636706808349E-05,,,democracy_frequency
,1967,2.09124089971218E-05,,,democracy_frequency
,1968,2.0522230313093E-05,,,democracy_frequency
,1969,2.00171949213005E-05,,,democracy_frequency
,1970,1.95730738466539E-05,,,democracy_frequency
,1971,1.91730133727625E-05,,,democracy_frequency
,1972,1.85987532209505E-05,,,democracy_frequency
,1973,1.8091051450548E-05,,,democracy_frequency
,1974,1.76789014533694E-05,,,democracy_frequency
,1975,1.73839401083699E-05,,,democracy_frequency
,1976,1.71770770975854E-05,,,democracy_frequency
,1977,1.70092974128368E-05,,,democracy_frequency
,1978,1.67661858410741E-05,,,democracy_frequency
,1979,1.66663007153797E-05,,,democracy_frequency
,1980,1.66276723965504E-05,,,democracy_frequency
,1981,1.67819177607141E-05,,,democracy_frequency
,1982,1.68429705809103E-05,,,democracy_frequency
,1983,1.72711427564666E-05,,,democracy_frequency
,1984,1.79027413521128E-05,,,democracy_frequency
,1985,1.87319889976477E-05,,,democracy_frequency
,1986,1.98196097958966E-05,,,democracy_frequency
,1987,2.11890118017826E-05,,,democracy_frequency
,1988,2.24580632805425E-05,,,democracy_frequency
,1989,2.38096981775016E-05,,,democracy_frequency
,1990,2.49863676020011E-05,,,democracy_frequency
,1991,2.6014618145252E-05,,,democracy_frequency
,1992,2.70113967936985E-05,,,democracy_frequency
,1993,2.76456407196487E-05,,,democracy_frequency
,1994,2.80274608875126E-05,,,democracy_frequency
,1995,2.82675963327555E-05,,,democracy_frequency
,1996,2.86858191559856E-05,,,democracy_frequency
,1997,2.91213267960952E-05,,,democracy_frequency
,1998,2.93346620310331E-05,,,democracy_frequency
,1999,2.95090914733009E-05,,,democracy_frequency
,2000,2.96793800771411E-05,,,democracy_frequency
,1800,4.97685068694409E-05,,,freedom_frequency
,1801,5.04643612657674E-05,,,freedom_frequency
,1802,5.06455823294042E-05,,,freedom_frequency
,1803,5.08952221675177E-05,,,freedom_frequency
,1804,5.17038705376243E-05,,,freedom_frequency
,1805,5.19384058342049E-05,,,freedom_frequency
,1806,5.09998114596653E-05,,,freedom_frequency
,1807,5.1458684278519E-05,,,freedom_frequency
,1808,5.13801855309534E-05,,,freedom_frequency
,1809,5.10074979891734E-05,,,freedom_frequency
,1810,5.08049436445747E-05,,,freedom_frequency
,1811,5.0887862536391E-05,,,freedom_frequency
,1812,5.01877662567754E-05,,,freedom_frequency
,1813,5.09981754086246E-05,,,freedom_frequency
,1814,5.20257017342374E-05,,,freedom_frequency
,1815,5.24984217398534E-05,,,freedom_frequency
,1816,5.27329554773002E-05,,,freedom_frequency
,1817,5.33178676310594E-05,,,freedom_frequency
,1818,5.24614557174833E-05,,,freedom_frequency
,1819,5.26416546823124E-05,,,freedom_frequency
,1820,5.29938962634852E-05,,,freedom_frequency
,1821,5.31400307538986E-05,,,freedom_frequency
,1822,5.27063426229038E-05,,,freedom_frequency
,1823,5.32704559321116E-05,,,freedom_frequency
,1824,5.33258446791608E-05,,,freedom_frequency
,1825,5.3660139591167E-05,,,freedom_frequency
,1826,5.38549434817729E-05,,,freedom_frequency
,1827,5.36806104979145E-05,,,freedom_frequency
,1828,5.33466762655215E-05,,,freedom_frequency
,1829,5.26266324283954E-05,,,freedom_frequency
,1830,5.32354305115795E-05,,,freedom_frequency
,1831,5.25349631581256E-05,,,freedom_frequency
,1832,5.33203263850217E-05,,,freedom_frequency
,1833,5.3719894432496E-05,,,freedom_frequency
,1834,5.3435246497559E-05,,,freedom_frequency
,1835,5.28175566744592E-05,,,freedom_frequency
,1836,5.28804490126536E-05,,,freedom_frequency
,1837,5.21878241020854E-05,,,freedom_frequency
,1838,5.25603863934521E-05,,,freedom_frequency
,1839,5.11595660230211E-05,,,freedom_frequency
,1840,5.03120188243754E-05,,,freedom_frequency
,1841,5.02002097034295E-05,,,freedom_frequency
,1842,5.00610206342701E-05,,,freedom_frequency
,1843,5.04716850368173E-05,,,freedom_frequency
,1844,4.9692745441072E-05,,,freedom_frequency
,1845,5.01371988710681E-05,,,freedom_frequency
,1846,5.11256813687006E-05,,,freedom_frequency
,1847,5.19051853708723E-05,,,freedom_frequency
,1848,5.19739701953118E-05,,,freedom_frequency
,1849,5.29929004967146E-05,,,freedom_frequency
,1850,5.33522803120182E-05,,,freedom_frequency
,1851,5.41011109557335E-05,,,freedom_frequency
,1852,5.36222614755388E-05,,,freedom_frequency
,1853,5.43114729225636E-05,,,freedom_frequency
,1854,5.35731253746365E-05,,,freedom_frequency
,1855,5.27029213636914E-05,,,freedom_frequency
,1856,5.13282850858689E-05,,,freedom_frequency
,1857,5.09440272123486E-05,,,freedom_frequency
,1858,5.02706815106129E-05,,,freedom_frequency
,1859,5.00088790431619E-05,,,freedom_frequency
,1860,4.92865479567887E-05,,,freedom_frequency
,1861,4.98034257491651E-05,,,freedom_frequency
,1862,5.03097175429243E-05,,,freedom_frequency
,1863,5.07764889334794E-05,,,freedom_frequency
,1864,4.98362647444342E-05,,,freedom_frequency
,1865,4.90832888837239E-05,,,freedom_frequency
,1866,4.78368586170421E-05,,,freedom_frequency
,1867,4.63937545386476E-05,,,freedom_frequency
,1868,4.50480485077216E-05,,,freedom_frequency
,1869,4.4041558014994E-05,,,freedom_frequency
,1870,4.27633068673978E-05,,,freedom_frequency
,1871,4.22640836664609E-05,,,freedom_frequency
,1872,4.20341654846977E-05,,,freedom_frequency
,1873,4.21670286284227E-05,,,freedom_frequency
,1874,4.18443482236138E-05,,,freedom_frequency
,1875,4.1428081853415E-05,,,freedom_frequency
,1876,4.11152744033773E-05,,,freedom_frequency
,1877,4.1437223574446E-05,,,freedom_frequency
,1878,4.1500960443435E-05,,,freedom_frequency
,1879,4.11521193330243E-05,,,freedom_frequency
,1880,4.07806666251937E-05,,,freedom_frequency
,1881,4.09116686829033E-05,,,freedom_frequency
,1882,4.06570938399195E-05,,,freedom_frequency
,1883,4.04342047529229E-05,,,freedom_frequency
,1884,3.95554073163242E-05,,,freedom_frequency
,1885,3.92481971565368E-05,,,freedom_frequency
,1886,3.90856496648796E-05,,,freedom_frequency
,1887,3.88716086620531E-05,,,freedom_frequency
,1888,3.83339678852021E-05,,,freedom_frequency
,1889,3.8403373764595E-05,,,freedom_frequency
,1890,3.84144025572043E-05,,,freedom_frequency
,1891,3.87089904896649E-05,,,freedom_frequency
,1892,3.81574619885734E-05,,,freedom_frequency
,1893,3.7837462254434E-05,,,freedom_frequency
,1894,3.74993349916102E-05,,,freedom_frequency
,1895,3.75373830528198E-05,,,freedom_frequency
,1896,3.76511358938712E-05,,,freedom_frequency
,1897,3.79994468987986E-05,,,freedom_frequency
,1898,3.76215975848027E-05,,,freedom_frequency
,1899,3.79581449254017E-05,,,freedom_frequency
,1900,3.78241488111338E-05,,,freedom_frequency
,1901,3.77608022452997E-05,,,freedom_frequency
,1902,3.73631534915018E-05,,,freedom_frequency
,1903,3.64922660602523E-05,,,freedom_frequency
,1904,3.57966595661959E-05,,,freedom_frequency
