,year,composite,negative,positive
0,1850,0.99982,0.05355,0.10665
1,1851,0.8334550000000001,0.053349999999999995,0.1022
2,1852,0.80002,0.058399999999999994,0.0982
3,1853,0.999385,0.064,0.118
4,1854,0.9002549999999999,0.056600000000000004,0.10594999999999999
5,1855,0.900205,0.061399999999999996,0.0984
6,1856,0.98081,0.04895,0.0901
7,1857,0.7999050000000001,0.05765,0.08375
8,1858,0.805265,0.06455,0.0935
9,1859,0.99917,0.05325,0.09709999999999999
10,1860,0.999085,0.050649999999999994,0.08005
11,1861,0.89939,0.0541,0.0873
12,1862,0.501595,0.07585,0.08935
13,1863,0.594705,0.061450000000000005,0.0869
14,1864,0.6995600000000001,0.06425,0.09125
15,1865,0.5184300000000001,0.06715,0.08855
16,1866,0.80474,0.054700000000000006,0.09725
17,1867,0.897645,0.05775,0.08990000000000001
18,1868,0.99943,0.054900000000000004,0.09215
19,1869,0.8000849999999999,0.053000000000000005,0.09154999999999999
20,1870,0.81647,0.0538,0.09715
21,1871,0.7995650000000001,0.06205000000000001,0.09555
22,1872,0.907405,0.05184999999999999,0.10124999999999999
23,1873,0.9997550000000001,0.047599999999999996,0.0926
24,1874,0.9994949999999999,0.05845,0.0991
25,1875,0.7940050000000001,0.05985,0.09435
26,1876,0.703415,0.0616,0.10055
27,1877,0.61161,0.06294999999999999,0.089
28,1878,0.9994099999999999,0.06634999999999999,0.10505
29,1879,0.40088,0.0629,0.08080000000000001
30,1880,0.799035,0.0605,0.09475
31,1881,0.89975,0.053649999999999996,0.09735
32,1882,0.59966,0.06520000000000001,0.09595000000000001
33,1883,0.8021,0.06534999999999999,0.0945
34,1884,0.29434499999999997,0.06910000000000001,0.09565
35,1885,0.799685,0.06194999999999999,0.09645000000000001
36,1886,0.898565,0.053349999999999995,0.10355
37,1887,0.8028000000000001,0.05725,0.1075
38,1888,0.7000149999999999,0.06394999999999999,0.1044
39,1889,0.899665,0.052149999999999995,0.1163
40,1890,0.69985,0.06815,0.10934999999999999
41,1891,0.9006399999999999,0.05985,0.09575
42,1892,0.5984550000000001,0.07105,0.092
43,1893,0.898555,0.058899999999999994,0.0931
44,1894,0.5004,0.07035,0.097
45,1895,0.9995750000000001,0.054400000000000004,0.1101
46,1896,0.9993700000000001,0.0586,0.1105
47,1897,0.613675,0.05785,0.1059
48,1898,0.60372,0.07565000000000001,0.0997
49,1899,0.99692,0.0623,0.11040000000000001
50,1900,0.997715,0.06344999999999999,0.10315
51,1901,0.8976700000000001,0.06534999999999999,0.1025
52,1902,0.899625,0.055200000000000006,0.1061
53,1903,0.815315,0.05345,0.0903
54,1904,0.8989800000000001,0.061149999999999996,0.1062
55,1905,0.76312,0.0629,0.11085
56,1906,0.9995350000000001,0.062150000000000004,0.11425
57,1907,0.516265,0.0658,0.09605
58,1908,0.8852800000000001,0.05355,0.09365
59,1909,0.889395,0.06194999999999999,0.0988
60,1910,0.79567,0.06275,0.10669999999999999
61,1911,0.99918,0.05034999999999999,0.11425
62,1912,0.89976,0.0528,0.11939999999999999
63,1913,0.700345,0.06035,0.1125
64,1914,0.59565,0.0696,0.10505
65,1915,0.69587,0.061250000000000006,0.11365
66,1916,0.7870250000000001,0.0697,0.11499999999999999
67,1917,0.9986650000000001,0.0663,0.1204
68,1918,0.5993350000000001,0.06885,0.10615000000000001
69,1919,0.8986599999999999,0.05505,0.11059999999999999
70,1920,0.9987299999999999,0.052149999999999995,0.11560000000000001
71,1921,0.820405,0.053000000000000005,0.09295
72,1922,0.799415,0.06355,0.10629999999999999
73,1923,0.998835,0.058199999999999995,0.11884999999999998
74,1924,0.902495,0.05505,0.11069999999999999
75,1925,0.99748,0.0558,0.10010000000000001
76,1926,0.76795,0.05740000000000001,0.11155
77,1927,0.70926,0.061950000000000005,0.10415
