,year,composite,negative,positive,Topic
,1950,0.79045,0.05255,0.08905,Freedom
,1951,0.997035,0.07205,0.1358,Freedom
,1952,0.87486,0.0611,0.0919,Freedom
,1953,0.98243,0.0457,0.1063,Freedom
,1954,0.798255,0.05495,0.10795,Freedom
,1955,0.703325,0.0562,0.10105,Freedom
,1956,0.998315,0.05345,0.10285,Freedom
,1957,0.89851,0.0534,0.10195,Freedom
,1958,0.99757,0.05515,0.10905,Freedom
,1959,0.91349,0.0541,0.10535,Freedom
,1960,0.64761,0.05715,0.0843,Freedom
,1961,0.89823,0.0529,0.0983,Freedom
,1962,0.99814,0.05115,0.10275,Freedom
,1963,0.51315,0.0635,0.1098,Freedom
,1850,0.99982,0.05355,0.10665,Freedom
,1851,0.833455,0.05335,0.1022,Freedom
,1852,0.80002,0.0584,0.0982,Freedom
,1853,0.999385,0.064,0.118,Freedom
,1854,0.900255,0.0566,0.10595,Freedom
,1855,0.900205,0.0614,0.0984,Freedom
,1856,0.98081,0.04895,0.0901,Freedom
,1857,0.799905,0.05765,0.08375,Freedom
,1858,0.805265,0.06455,0.0935,Freedom
,1859,0.99917,0.05325,0.0971,Freedom
,1860,0.999085,0.05065,0.08005,Freedom
,1861,0.89939,0.0541,0.0873,Freedom
,1862,0.501595,0.07585,0.08935,Freedom
,1863,0.594705,0.06145,0.0869,Freedom
,1864,0.69956,0.06425,0.09125,Freedom
,1865,0.51843,0.06715,0.08855,Freedom
,1866,0.80474,0.0547,0.09725,Freedom
,1867,0.897645,0.05775,0.0899,Freedom
,1868,0.99943,0.0549,0.09215,Freedom
,1869,0.800085,0.053,0.09155,Freedom
,1870,0.81647,0.0538,0.09715,Freedom
,1871,0.799565,0.06205,0.09555,Freedom
,1872,0.907405,0.05185,0.10125,Freedom
,1873,0.999755,0.0476,0.0926,Freedom
,1874,0.999495,0.05845,0.0991,Freedom
,1875,0.794005,0.05985,0.09435,Freedom
,1876,0.703415,0.0616,0.10055,Freedom
,1877,0.61161,0.06295,0.089,Freedom
,1878,0.99941,0.06635,0.10505,Freedom
,1879,0.40088,0.0629,0.0808,Freedom
,1880,0.799035,0.0605,0.09475,Freedom
,1881,0.89975,0.05365,0.09735,Freedom
,1882,0.59966,0.0652,0.09595,Freedom
,1883,0.8021,0.06535,0.0945,Freedom
,1884,0.294345,0.0691,0.09565,Freedom
,1885,0.799685,0.06195,0.09645,Freedom
,1886,0.898565,0.05335,0.10355,Freedom
,1887,0.8028,0.05725,0.1075,Freedom
,1888,0.700015,0.06395,0.1044,Freedom
,1889,0.899665,0.05215,0.1163,Freedom
,1890,0.69985,0.06815,0.10935,Freedom
,1891,0.90064,0.05985,0.09575,Freedom
,1892,0.598455,0.07105,0.092,Freedom
,1893,0.898555,0.0589,0.0931,Freedom
,1894,0.5004,0.07035,0.097,Freedom
,1895,0.999575,0.0544,0.1101,Freedom
,1896,0.99937,0.0586,0.1105,Freedom
,1897,0.613675,0.05785,0.1059,Freedom
,1898,0.60372,0.07565,0.0997,Freedom
,1899,0.99692,0.0623,0.1104,Freedom
,1900,0.997715,0.06345,0.10315,Freedom
,1901,0.89767,0.06535,0.1025,Freedom
,1902,0.899625,0.0552,0.1061,Freedom
,1903,0.815315,0.05345,0.0903,Freedom
,1904,0.89898,0.06115,0.1062,Freedom
,1905,0.76312,0.0629,0.11085,Freedom
,1906,0.999535,0.06215,0.11425,Freedom
,1907,0.516265,0.0658,0.09605,Freedom
,1908,0.88528,0.05355,0.09365,Freedom
,1909,0.889395,0.06195,0.0988,Freedom
,1910,0.79567,0.06275,0.1067,Freedom
,1911,0.99918,0.05035,0.11425,Freedom
,1912,0.89976,0.0528,0.1194,Freedom
,1913,0.700345,0.06035,0.1125,Freedom
,1914,0.59565,0.0696,0.10505,Freedom
,1915,0.69587,0.06125,0.11365,Freedom
,1916,0.787025,0.0697,0.115,Freedom
,1917,0.998665,0.0663,0.1204,Freedom
,1918,0.599335,0.06885,0.10615,Freedom
,1919,0.89866,0.05505,0.1106,Freedom
,1920,0.99873,0.05215,0.1156,Freedom
,1921,0.820405,0.053,0.09295,Freedom
,1922,0.799415,0.06355,0.1063,Freedom
,1923,0.998835,0.0582,0.11885,Freedom
,1924,0.902495,0.05505,0.1107,Freedom
,1925,0.99748,0.0558,0.1001,Freedom
,1926,0.76795,0.0574,0.11155,Freedom
,1927,0.89916,0.04665,0.10015,Liberty
,1928,0.699775,0.0475,0.08445,Liberty
,1929,0.998705,0.055,0.1022,Liberty
,1930,0.69997,0.05085,0.09385,Liberty
,1931,0.799,0.05215,0.0952,Liberty
,1932,0.69805,0.05275,0.0881,Liberty
,1933,0.61012,0.0562,0.08805,Liberty
,1934,0.80005,0.055,0.10315,Liberty
,1935,0.699495,0.053,0.10365,Liberty
,1936,0.698665,0.0652,0.1075,Liberty
,1937,0.71932,0.069,0.09735,Liberty
,1938,0.593965,0.05825,0.09705,Liberty
,1939,0.796895,0.06325,0.1019,Liberty
,1940,0.799905,0.05405,0.09665,Liberty
,1941,0.608035,0.07195,0.10295,Liberty
,1942,0.890995,0.0499,0.08255,Liberty
,1943,0.704285,0.0738,0.1002,Liberty
,1944,0.532295,0.0657,0.09605,Liberty
,1945,0.338535,0.063,0.0916,Liberty
,1946,0.503275,0.0599,0.0979,Liberty
,1947,0.698355,0.0584,0.09665,Liberty
,1948,0.898955,0.0417,0.09635,Liberty
,1949,0.903505,0.0426,0.1045,Liberty
,1950,0.75798,0.04935,0.08935,Liberty
,1951,0.79714,0.05585,0.10095,Liberty
,1952,0.795585,0.05325,0.0897,Liberty
,1953,0.997865,0.03075,0.08825,Liberty
,1954,0.896035,0.0495,0.0967,Liberty
,1955,0.711495,0.0422,0.0919,Liberty
,1956,0.999425,0.04465,0.09675,Liberty
,1957,0.82779,0.05265,0.0943,Liberty
,1958,0.998755,0.0348,0.0835,Liberty
,1959,0.911425,0.04175,0.09405,Liberty
,1960,0.786225,0.04905,0.09,Liberty
,1961,0.717575,0.04765,0.09285,Liberty
,1962,0.70191,0.0435,0.08965,Liberty
,1963,0.91926,0.0471,0.11285,Liberty
,1850,0.80615,0.04625,0.0896,Liberty
,1851,0.900095,0.0472,0.0877,Liberty
,1852,0.701575,0.0675,0.1039,Liberty
,1853,0.60697,0.047,0.0869,Liberty
,1854,0.996355,0.0558,0.106,Liberty
,1855,0.99955,0.05475,0.09255,Liberty
,1856,0.799725,0.04685,0.08615,Liberty
,1857,0.896525,0.04945,0.07695,Liberty
,1858,0.789345,0.04765,0.07775,Liberty
,1859,0.70102,0.05565,0.08435,Liberty
,1860,0.999,0.0511,0.08885,Liberty
,1861,0.986065,0.0605,0.0867,Liberty
,1862,0.800995,0.0626,0.09005,Liberty
,1863,0.59471,0.0604,0.0842,Liberty
,1864,0.799965,0.057,0.09385,Liberty
,1865,0.619615,0.0636,0.0867,Liberty
,1866,0.99957,0.0527,0.09065,Liberty
,1867,0.70996,0.0551,0.07935,Liberty
,1868,0.899495,0.0465,0.08895,Liberty
,1869,0.8786,0.0543,0.0875,Liberty
,1870,0.799995,0.0527,0.0884,Liberty
,1871,0.79973,0.0697,0.0976,Liberty
,1872,0.907445,0.0517,0.101,Liberty
,1873,0.69946,0.0697,0.09575,Liberty
,1874,0.999455,0.0512,0.09795,Liberty
,1875,0.79912,0.05295,0.08965,Liberty
,1876,0.800475,0.05715,0.08935,Liberty
,1877,0.608605,0.05135,0.08285,Liberty
,1878,0.796705,0.05465,0.0923,Liberty
,1879,0.40248,0.0595,0.08125,Liberty
,1880,0.89978,0.05645,0.1068,Liberty
,1881,0.77676,0.0565,0.0955,Liberty
,1882,0.9351,0.05665,0.0954,Liberty
,1883,0.898425,0.05465,0.0897,Liberty
,1884,0.496505,0.0592,0.0767,Liberty
,1885,0.89918,0.06455,0.10065,Liberty
,1886,0.601115,0.0627,0.09375,Liberty
,1887,0.785865,0.05555,0.088,Liberty
,1888,0.775495,0.0544,0.1011,Liberty
,1889,0.700155,0.0573,0.09465,Liberty
,1890,0.60876,0.05545,0.08405,Liberty
,1891,0.79839,0.064,0.1139,Liberty
,1892,0.8991,0.05675,0.0991,Liberty
,1893,0.89924,0.05965,0.0827,Liberty
,1894,0.59621,0.05185,0.0815,Liberty
,1895,0.40021,0.0617,0.07885,Liberty
,1896,0.599055,0.06805,0.1021,Liberty
,1897,0.600145,0.05895,0.0975,Liberty
,1898,0.997515,0.05955,0.0958,Liberty
,1899,0.91138,0.06235,0.1022,Liberty
,1900,0.79954,0.0636,0.0992,Liberty
,1901,0.70027,0.0615,0.1058,Liberty
,1902,0.79816,0.05295,0.08675,Liberty
,1903,0.799455,0.05795,0.0911,Liberty
,1904,0.89924,0.04735,0.0814,Liberty
,1905,0.806605,0.0453,0.0933,Liberty
,1906,0.99753,0.05165,0.1077,Liberty
,1907,0.799225,0.0518,0.09095,Liberty
,1908,0.79246,0.0538,0.0832,Liberty
,1909,0.698885,0.06195,0.0966,Liberty
,1910,0.99923,0.05685,0.10485,Liberty
,1911,0.618575,0.065,0.099,Liberty
,1912,0.80508,0.05055,0.09975,Liberty
,1913,0.30124,0.05975,0.07805,Liberty
,1914,0.897245,0.04925,0.08915,Liberty
,1915,0.675115,0.059,0.09305,Liberty
,1916,0.801935,0.05375,0.10175,Liberty
,1917,0.908625,0.0749,0.12155,Liberty
,1918,0.694055,0.0597,0.1062,Liberty
,1919,0.796165,0.0538,0.0872,Liberty
,1920,0.79486,0.0458,0.0967,Liberty
,1921,0.90058,0.0378,0.08465,Liberty
,1922,0.900125,0.0472,0.0937,Liberty
,1923,0.69847,0.061,0.0961,Liberty
,1924,0.89872,0.04955,0.09755,Liberty
,1925,0.89357,0.0496,0.10005,Liberty
,1926,0.80195,0.0591,0.10865,Liberty
,1850,0.99986,0.05675,0.10055,Democracy
,1851,0.999875,0.05755,0.10675,Democracy
,1852,0.80143,0.0621,0.10265,Democracy
,1853,0.900515,0.05205,0.09625,Democracy
,1854,0.99907,0.05215,0.1058,Democracy
,1855,0.899835,0.0639,0.09635,Democracy
,1856,0.99903,0.0577,0.0938,Democracy
,1857,0.999645,0.0579,0.09655,Democracy
,1858,0.898115,0.0523,0.0788,Democracy
,1859,0.803845,0.0538,0.102,Democracy
,1860,0.8836,0.0527,0.0818,Democracy
,1861,0.999345,0.06595,0.1,Democracy
,1862,0.5906,0.0717,0.09485,Democracy
,1863,0.39739,0.07015,0.08205,Democracy
,1864,0.900325,0.07025,0.10175,Democracy
,1865,0.879595,0.07045,0.09125,Democracy
,1866,0.999505,0.05685,0.0979,Democracy
,1867,0.901915,0.0584,0.09585,Democracy
,1868,0.69995,0.05525,0.0889,Democracy
,1869,0.99905,0.06425,0.1054,Democracy
,1870,0.8997,0.0633,0.0985,Democracy
,1871,0.900295,0.0624,0.1027,Democracy
,1872,0.90715,0.05525,0.1021,Democracy
,1873,0.90028,0.0657,0.1039,Democracy
,1874,0.796855,0.0648,0.09885,Democracy
,1875,0.701285,0.0634,0.09585,Democracy
,1876,0.899385,0.06265,0.10725,Democracy
,1877,0.69783,0.065,0.09265,Democracy
,1878,0.707595,0.06365,0.09745,Democracy
,1879,0.70572,0.06445,0.0917,Democracy
,1880,0.899865,0.0587,0.1017,Democracy
,1881,0.995365,0.0559,0.0943,Democracy
,1882,0.6065,0.0616,0.08465,Democracy
,1883,0.882475,0.055,0.0841,Democracy
,1884,0.900695,0.06155,0.1003,Democracy
