,year,composite,negative,positive
0,1918,0.899405,0.0638,0.1283
1,1919,0.9976499999999999,0.052700000000000004,0.10269999999999999
2,1920,0.80037,0.04305,0.1022
3,1921,0.99771,0.04125,0.09090000000000001
4,1922,0.899835,0.050350000000000006,0.1008
5,1923,0.7210099999999999,0.05225,0.10774999999999998
6,1924,0.79812,0.050649999999999994,0.10395000000000001
7,1925,0.9994350000000001,0.0487,0.1068
8,1926,0.9993000000000001,0.04315,0.11015
9,1927,0.9909250000000001,0.0479,0.1113
10,1928,0.79809,0.0422,0.07694999999999999
11,1929,0.7143200000000001,0.06315,0.10825
12,1930,0.57569,0.0679,0.10175000000000001
13,1931,0.695175,0.05745,0.10095000000000001
14,1932,0.498385,0.07395,0.0989
15,1933,0.90037,0.0477,0.10315
16,1934,0.79779,0.05465,0.0929
17,1935,0.783195,0.05815,0.09465
18,1936,0.899465,0.0474,0.0982
19,1937,0.6965,0.06015,0.09895000000000001
20,1938,0.49867999999999996,0.0663,0.09280000000000001
21,1939,0.99892,0.04425,0.09555
22,1940,0.80663,0.05789999999999999,0.10215
23,1941,0.8952249999999999,0.05845,0.11034999999999999
24,1942,0.88932,0.06465,0.10494999999999999
25,1943,0.609405,0.06545,0.10069999999999998
26,1944,0.79677,0.06899999999999999,0.09945000000000001
27,1945,0.30145,0.07415000000000001,0.10269999999999999
28,1946,0.822035,0.05715,0.10369999999999999
29,1947,0.607425,0.05825,0.1016
30,1948,0.624005,0.0526,0.10149999999999999
31,1949,0.8982699999999999,0.05325,0.10505
32,1950,0.8986000000000001,0.04805,0.09519999999999999
33,1951,0.8321400000000001,0.0423,0.09885000000000001
34,1952,0.705655,0.0578,0.0986
35,1953,0.996945,0.0474,0.10565
36,1954,0.89585,0.047549999999999995,0.0956
37,1955,0.69772,0.053500000000000006,0.097
38,1956,0.761325,0.0444,0.09409999999999999
39,1957,0.99756,0.04155,0.0947
40,1958,0.98995,0.0536,0.09645000000000001
41,1959,0.713575,0.052349999999999994,0.0913
42,1960,0.973255,0.057199999999999994,0.1002
43,1961,0.6245350000000001,0.0465,0.0975
44,1962,0.9774750000000001,0.0449,0.10705
45,1963,0.89591,0.0475,0.1001
