,State,Station,Year,Ridership
10447,Maryland,"Aberdeen, Maryland",2005-01-01,23438.0
9847,Maryland,"Aberdeen, Maryland",2006-01-01,18008.0
9247,Maryland,"Aberdeen, Maryland",2007-01-01,38702.0
8647,Maryland,"Aberdeen, Maryland",2008-01-01,45052.0
8047,Maryland,"Aberdeen, Maryland",2009-01-01,44495.0
7447,Maryland,"Aberdeen, Maryland",2010-01-01,41114.0
6847,Maryland,"Aberdeen, Maryland",2011-01-01,39878.0
6247,Maryland,"Aberdeen, Maryland",2012-01-01,43987.0
5647,Maryland,"Aberdeen, Maryland",2013-01-01,43968.0
5047,Maryland,"Aberdeen, Maryland",2014-01-01,42345.0
4447,Maryland,"Aberdeen, Maryland",2015-01-01,53883.0
3847,Maryland,"Aberdeen, Maryland",2016-01-01,59225.0
3247,Maryland,"Aberdeen, Maryland",2017-01-01,55387.0
2647,Maryland,"Aberdeen, Maryland",2018-01-01,56285.0
2047,Maryland,"Aberdeen, Maryland",2019-01-01,35483.0
1447,Maryland,"Aberdeen, Maryland",2020-01-01,16891.0
847,Maryland,"Aberdeen, Maryland",2021-01-01,13841.0
247,Maryland,"Aberdeen, Maryland",2022-01-01,32935.0
10628,Ohio,"Akron, Ohio",2005-01-01,1333.0
10645,Oregon,"Albany, Oregon",2005-01-01,12469.0
10045,Oregon,"Albany, Oregon",2006-01-01,13084.0
9445,Oregon,"Albany, Oregon",2007-01-01,30756.0
8845,Oregon,"Albany, Oregon",2008-01-01,31870.0
8245,Oregon,"Albany, Oregon",2009-01-01,35735.0
7645,Oregon,"Albany, Oregon",2010-01-01,38359.0
7045,Oregon,"Albany, Oregon",2011-01-01,38693.0
6445,Oregon,"Albany, Oregon",2012-01-01,39682.0
5845,Oregon,"Albany, Oregon",2013-01-01,40208.0
5245,Oregon,"Albany, Oregon",2014-01-01,35100.0
4645,Oregon,"Albany, Oregon",2015-01-01,32503.0
4045,Oregon,"Albany, Oregon",2016-01-01,33656.0
3445,Oregon,"Albany, Oregon",2017-01-01,33933.0
2845,Oregon,"Albany, Oregon",2018-01-01,30782.0
2245,Oregon,"Albany, Oregon",2019-01-01,32856.0
1645,Oregon,"Albany, Oregon",2020-01-01,19082.0
1045,Oregon,"Albany, Oregon",2021-01-01,13918.0
445,Oregon,"Albany, Oregon",2022-01-01,26256.0
10573,New York,"Albany-Rensselaer, New York",2005-01-01,366946.0
9973,New York,"Albany-Rensselaer, New York",2006-01-01,382263.0
9373,New York,"Albany-Rensselaer, New York",2007-01-01,774458.0
8773,New York,"Albany-Rensselaer, New York",2008-01-01,830740.0
8173,New York,"Albany-Rensselaer, New York",2009-01-01,723913.0
7573,New York,"Albany-Rensselaer, New York",2010-01-01,737259.0
6973,New York,"Albany-Rensselaer, New York",2011-01-01,769626.0
6373,New York,"Albany-Rensselaer, New York",2012-01-01,769413.0
5773,New York,"Albany-Rensselaer, New York",2013-01-01,764898.0
5173,New York,"Albany-Rensselaer, New York",2014-01-01,781597.0
4573,New York,"Albany-Rensselaer, New York",2015-01-01,825353.0
3973,New York,"Albany-Rensselaer, New York",2016-01-01,855176.0
3373,New York,"Albany-Rensselaer, New York",2017-01-01,803348.0
2773,New York,"Albany-Rensselaer, New York",2018-01-01,800368.0
2173,New York,"Albany-Rensselaer, New York",2019-01-01,806960.0
1573,New York,"Albany-Rensselaer, New York",2020-01-01,450965.0
973,New York,"Albany-Rensselaer, New York",2021-01-01,379209.0
373,New York,"Albany-Rensselaer, New York",2022-01-01,640353.0
9802,Indiana,"Albany/Rensselaer, Indiana",2006-01-01,533.0
9202,Indiana,"Albany/Rensselaer, Indiana",2007-01-01,1630.0
8602,Indiana,"Albany/Rensselaer, Indiana",2008-01-01,1830.0
8002,Indiana,"Albany/Rensselaer, Indiana",2009-01-01,1820.0
7402,Indiana,"Albany/Rensselaer, Indiana",2010-01-01,1848.0
6802,Indiana,"Albany/Rensselaer, Indiana",2011-01-01,2042.0
6202,Indiana,"Albany/Rensselaer, Indiana",2012-01-01,2342.0
5602,Indiana,"Albany/Rensselaer, Indiana",2013-01-01,2239.0
5002,Indiana,"Albany/Rensselaer, Indiana",2014-01-01,2154.0
4402,Indiana,"Albany/Rensselaer, Indiana",2015-01-01,2090.0
3802,Indiana,"Albany/Rensselaer, Indiana",2016-01-01,1963.0
3202,Indiana,"Albany/Rensselaer, Indiana",2017-01-01,2188.0
2602,Indiana,"Albany/Rensselaer, Indiana",2018-01-01,1816.0
10467,Michigan,"Albion, Michigan",2005-01-01,888.0
9867,Michigan,"Albion, Michigan",2006-01-01,689.0
9267,Michigan,"Albion, Michigan",2007-01-01,1490.0
8667,Michigan,"Albion, Michigan",2008-01-01,1817.0
8067,Michigan,"Albion, Michigan",2009-01-01,1539.0
7467,Michigan,"Albion, Michigan",2010-01-01,1636.0
6867,Michigan,"Albion, Michigan",2011-01-01,1625.0
6267,Michigan,"Albion, Michigan",2012-01-01,1980.0
5667,Michigan,"Albion, Michigan",2013-01-01,1932.0
5067,Michigan,"Albion, Michigan",2014-01-01,1727.0
4467,Michigan,"Albion, Michigan",2015-01-01,1816.0
3867,Michigan,"Albion, Michigan",2016-01-01,1603.0
3267,Michigan,"Albion, Michigan",2017-01-01,2194.0
2667,Michigan,"Albion, Michigan",2018-01-01,883.0
2067,Michigan,"Albion, Michigan",2019-01-01,447.0
1467,Michigan,"Albion, Michigan",2020-01-01,1344.0
867,Michigan,"Albion, Michigan",2021-01-01,1231.0
267,Michigan,"Albion, Michigan",2022-01-01,1890.0
10565,New Mexico,"Albuquerque, New Mexico",2005-01-01,31699.0
9965,New Mexico,"Albuquerque, New Mexico",2006-01-01,32371.0
9365,New Mexico,"Albuquerque, New Mexico",2007-01-01,66946.0
8765,New Mexico,"Albuquerque, New Mexico",2008-01-01,72434.0
8165,New Mexico,"Albuquerque, New Mexico",2009-01-01,67751.0
7565,New Mexico,"Albuquerque, New Mexico",2010-01-01,71848.0
6965,New Mexico,"Albuquerque, New Mexico",2011-01-01,75779.0
6365,New Mexico,"Albuquerque, New Mexico",2012-01-01,78324.0
5765,New Mexico,"Albuquerque, New Mexico",2013-01-01,78126.0
5165,New Mexico,"Albuquerque, New Mexico",2014-01-01,77021.0
4565,New Mexico,"Albuquerque, New Mexico",2015-01-01,79078.0
3965,New Mexico,"Albuquerque, New Mexico",2016-01-01,77209.0
3365,New Mexico,"Albuquerque, New Mexico",2017-01-01,75926.0
2765,New Mexico,"Albuquerque, New Mexico",2018-01-01,65539.0
2165,New Mexico,"Albuquerque, New Mexico",2019-01-01,67354.0
1565,New Mexico,"Albuquerque, New Mexico",2020-01-01,38315.0
965,New Mexico,"Albuquerque, New Mexico",2021-01-01,25821.0
365,New Mexico,"Albuquerque, New Mexico",2022-01-01,41692.0
10780,West Virginia,"Alderson, West Virginia",2005-01-01,256.0
10180,West Virginia,"Alderson, West Virginia",2006-01-01,279.0
9580,West Virginia,"Alderson, West Virginia",2007-01-01,475.0
8980,West Virginia,"Alderson, West Virginia",2008-01-01,550.0
8380,West Virginia,"Alderson, West Virginia",2009-01-01,624.0
7780,West Virginia,"Alderson, West Virginia",2010-01-01,705.0
7180,West Virginia,"Alderson, West Virginia",2011-01-01,659.0
6580,West Virginia,"Alderson, West Virginia",2012-01-01,603.0
5980,West Virginia,"Alderson, West Virginia",2013-01-01,586.0
5380,West Virginia,"Alderson, West Virginia",2014-01-01,551.0
4780,West Virginia,"Alderson, West Virginia",2015-01-01,432.0
4180,West Virginia,"Alderson, West Virginia",2016-01-01,449.0
3580,West Virginia,"Alderson, West Virginia",2017-01-01,449.0
2980,West Virginia,"Alderson, West Virginia",2018-01-01,433.0
2380,West Virginia,"Alderson, West Virginia",2019-01-01,578.0
1780,West Virginia,"Alderson, West Virginia",2020-01-01,198.0
1180,West Virginia,"Alderson, West Virginia",2021-01-01,271.0
580,West Virginia,"Alderson, West Virginia",2022-01-01,315.0
10738,Virginia,"Alexandria, Virginia",2005-01-01,41383.0
10138,Virginia,"Alexandria, Virginia",2006-01-01,42703.0
9538,Virginia,"Alexandria, Virginia",2007-01-01,97734.0
8938,Virginia,"Alexandria, Virginia",2008-01-01,120153.0
8338,Virginia,"Alexandria, Virginia",2009-01-01,120815.0
7738,Virginia,"Alexandria, Virginia",2010-01-01,139837.0
7138,Virginia,"Alexandria, Virginia",2011-01-01,161687.0
6538,Virginia,"Alexandria, Virginia",2012-01-01,169746.0
5938,Virginia,"Alexandria, Virginia",2013-01-01,180063.0
5338,Virginia,"Alexandria, Virginia",2014-01-01,180409.0
4738,Virginia,"Alexandria, Virginia",2015-01-01,186841.0
4138,Virginia,"Alexandria, Virginia",2016-01-01,190185.0
3538,Virginia,"Alexandria, Virginia",2017-01-01,200373.0
2938,Virginia,"Alexandria, Virginia",2018-01-01,188961.0
2338,Virginia,"Alexandria, Virginia",2019-01-01,201535.0
1738,Virginia,"Alexandria, Virginia",2020-01-01,112231.0
1138,Virginia,"Alexandria, Virginia",2021-01-01,100838.0
538,Virginia,"Alexandria, Virginia",2022-01-01,211971.0
10629,Ohio,"Alliance, Ohio",2005-01-01,1445.0
10029,Ohio,"Alliance, Ohio",2006-01-01,1694.0
9429,Ohio,"Alliance, Ohio",2007-01-01,3402.0
8829,Ohio,"Alliance, Ohio",2008-01-01,3720.0
8229,Ohio,"Alliance, Ohio",2009-01-01,3364.0
7629,Ohio,"Alliance, Ohio",2010-01-01,3641.0
7029,Ohio,"Alliance, Ohio",2011-01-01,3824.0
6429,Ohio,"Alliance, Ohio",2012-01-01,4373.0
5829,Ohio,"Alliance, Ohio",2013-01-01,4538.0
5229,Ohio,"Alliance, Ohio",2014-01-01,4691.0
4629,Ohio,"Alliance, Ohio",2015-01-01,4714.0
4029,Ohio,"Alliance, Ohio",2016-01-01,5191.0
3429,Ohio,"Alliance, Ohio",2017-01-01,5020.0
2829,Ohio,"Alliance, Ohio",2018-01-01,4501.0
2229,Ohio,"Alliance, Ohio",2019-01-01,4309.0
1629,Ohio,"Alliance, Ohio",2020-01-01,2529.0
1029,Ohio,"Alliance, Ohio",2021-01-01,2040.0
429,Ohio,"Alliance, Ohio",2022-01-01,3132.0
10698,Texas,"Alpine, Texas",2005-01-01,798.0
10098,Texas,"Alpine, Texas",2006-01-01,916.0
9498,Texas,"Alpine, Texas",2007-01-01,2659.0
8898,Texas,"Alpine, Texas",2008-01-01,3519.0
8298,Texas,"Alpine, Texas",2009-01-01,3497.0
7698,Texas,"Alpine, Texas",2010-01-01,3862.0
7098,Texas,"Alpine, Texas",2011-01-01,4322.0
6498,Texas,"Alpine, Texas",2012-01-01,4416.0
5898,Texas,"Alpine, Texas",2013-01-01,4921.0
5298,Texas,"Alpine, Texas",2014-01-01,4756.0
4698,Texas,"Alpine, Texas",2015-01-01,4969.0
4098,Texas,"Alpine, Texas",2016-01-01,4943.0
3498,Texas,"Alpine, Texas",2017-01-01,4999.0
2898,Texas,"Alpine, Texas",2018-01-01,5311.0
2298,Texas,"Alpine, Texas",2019-01-01,5242.0
1698,Texas,"Alpine, Texas",2020-01-01,3010.0
1098,Texas,"Alpine, Texas",2021-01-01,3039.0
498,Texas,"Alpine, Texas",2022-01-01,3593.0
10371,Illinois,"Alton, Illinois",2005-01-01,16683.0
9771,Illinois,"Alton, Illinois",2006-01-01,17863.0
9171,Illinois,"Alton, Illinois",2007-01-01,46717.0
8571,Illinois,"Alton, Illinois",2008-01-01,53741.0
7971,Illinois,"Alton, Illinois",2009-01-01,57974.0
7371,Illinois,"Alton, Illinois",2010-01-01,64674.0
6771,Illinois,"Alton, Illinois",2011-01-01,50220.0
6171,Illinois,"Alton, Illinois",2012-01-01,63027.0
5571,Illinois,"Alton, Illinois",2013-01-01,73043.0
4971,Illinois,"Alton, Illinois",2014-01-01,68584.0
4371,Illinois,"Alton, Illinois",2015-01-01,61249.0
3771,Illinois,"Alton, Illinois",2016-01-01,59809.0
3171,Illinois,"Alton, Illinois",2017-01-01,64420.0
2571,Illinois,"Alton, Illinois",2018-01-01,67225.0
1971,Illinois,"Alton, Illinois",2019-01-01,63310.0
1371,Illinois,"Alton, Illinois",2020-01-01,29749.0
771,Illinois,"Alton, Illinois",2021-01-01,23178.0
171,Illinois,"Alton, Illinois",2022-01-01,49368.0
10654,Pennsylvania,"Altoona, Pennsylvania",2005-01-01,10095.0
10054,Pennsylvania,"Altoona, Pennsylvania",2006-01-01,10450.0
9454,Pennsylvania,"Altoona, Pennsylvania",2007-01-01,23909.0
8854,Pennsylvania,"Altoona, Pennsylvania",2008-01-01,25415.0
8254,Pennsylvania,"Altoona, Pennsylvania",2009-01-01,26669.0
7654,Pennsylvania,"Altoona, Pennsylvania",2010-01-01,25185.0
7054,Pennsylvania,"Altoona, Pennsylvania",2011-01-01,25800.0
6454,Pennsylvania,"Altoona, Pennsylvania",2012-01-01,26978.0
5854,Pennsylvania,"Altoona, Pennsylvania",2013-01-01,26025.0
5254,Pennsylvania,"Altoona, Pennsylvania",2014-01-01,26506.0
4654,Pennsylvania,"Altoona, Pennsylvania",2015-01-01,25175.0
4054,Pennsylvania,"Altoona, Pennsylvania",2016-01-01,22164.0
3454,Pennsylvania,"Altoona, Pennsylvania",2017-01-01,21705.0
2854,Pennsylvania,"Altoona, Pennsylvania",2018-01-01,19574.0
2254,Pennsylvania,"Altoona, Pennsylvania",2019-01-01,18689.0
1654,Pennsylvania,"Altoona, Pennsylvania",2020-01-01,10892.0
1054,Pennsylvania,"Altoona, Pennsylvania",2021-01-01,10281.0
454,Pennsylvania,"Altoona, Pennsylvania",2022-01-01,15142.0
10453,Massachusetts,"Amherst, Massachusetts",2005-01-01,4464.0
9853,Massachusetts,"Amherst, Massachusetts",2006-01-01,4041.0
9253,Massachusetts,"Amherst, Massachusetts",2007-01-01,11432.0
8653,Massachusetts,"Amherst, Massachusetts",2008-01-01,12679.0
8053,Massachusetts,"Amherst, Massachusetts",2009-01-01,13581.0
7453,Massachusetts,"Amherst, Massachusetts",2010-01-01,14600.0
6853,Massachusetts,"Amherst, Massachusetts",2011-01-01,12238.0
6253,Massachusetts,"Amherst, Massachusetts",2012-01-01,12945.0
5653,Massachusetts,"Amherst, Massachusetts",2013-01-01,13357.0
5053,Massachusetts,"Amherst, Massachusetts",2014-01-01,14124.0
4453,Massachusetts,"Amherst, Massachusetts",2015-01-01,4206.0
10574,New York,"Amsterdam, New York",2005-01-01,3139.0
9974,New York,"Amsterdam, New York",2006-01-01,3307.0
9374,New York,"Amsterdam, New York",2007-01-01,7445.0
8774,New York,"Amsterdam, New York",2008-01-01,7948.0
8174,New York,"Amsterdam, New York",2009-01-01,7628.0
7574,New York,"Amsterdam, New York",2010-01-01,9174.0
6974,New York,"Amsterdam, New York",2011-01-01,8682.0
6374,New York,"Amsterdam, New York",2012-01-01,9197.0
5774,New York,"Amsterdam, New York",2013-01-01,10694.0
5174,New York,"Amsterdam, New York",2014-01-01,11119.0
4574,New York,"Amsterdam, New York",2015-01-01,11155.0
3974,New York,"Amsterdam, New York",2016-01-01,10410.0
3374,New York,"Amsterdam, New York",2017-01-01,10475.0
2774,New York,"Amsterdam, New York",2018-01-01,9676.0
2174,New York,"Amsterdam, New York",2019-01-01,11183.0
1574,New York,"Amsterdam, New York",2020-01-01,7909.0
974,New York,"Amsterdam, New York",2021-01-01,9139.0
374,New York,"Amsterdam, New York",2022-01-01,11900.0
10220,California,"Anaheim, California",2005-01-01,157609.0
9620,California,"Anaheim, California",2006-01-01,163067.0
9020,California,"Anaheim, California",2007-01-01,332125.0
8420,California,"Anaheim, California",2008-01-01,357906.0
7820,California,"Anaheim, California",2009-01-01,335562.0
7220,California,"Anaheim, California",2010-01-01,331666.0
6620,California,"Anaheim, California",2011-01-01,352363.0
6020,California,"Anaheim, California",2012-01-01,358810.0
5420,California,"Anaheim, California",2013-01-01,342284.0
4820,California,"Anaheim, California",2014-01-01,254066.0
4220,California,"Anaheim, California",2015-01-01,270819.0
3620,California,"Anaheim, California",2016-01-01,282700.0
3020,California,"Anaheim, California",2017-01-01,287415.0
2420,California,"Anaheim, California",2018-01-01,281379.0
1820,California,"Anaheim, California",2019-01-01,239471.0
1220,California,"Anaheim, California",2020-01-01,112054.0
620,California,"Anaheim, California",2021-01-01,71651.0
20,California,"Anaheim, California",2022-01-01,158796.0
10468,Michigan,"Ann Arbor, Michigan",2005-01-01,64904.0
9868,Michigan,"Ann Arbor, Michigan",2006-01-01,70948.0
9268,Michigan,"Ann Arbor, Michigan",2007-01-01,144114.0
8668,Michigan,"Ann Arbor, Michigan",2008-01-01,148594.0
8068,Michigan,"Ann Arbor, Michigan",2009-01-01,133454.0
7468,Michigan,"Ann Arbor, Michigan",2010-01-01,140735.0
6868,Michigan,"Ann Arbor, Michigan",2011-01-01,148911.0
6268,Michigan,"Ann Arbor, Michigan",2012-01-01,144707.0
5668,Michigan,"Ann Arbor, Michigan",2013-01-01,158717.0
5068,Michigan,"Ann Arbor, Michigan",2014-01-01,144120.0
4468,Michigan,"Ann Arbor, Michigan",2015-01-01,143130.0
3868,Michigan,"Ann Arbor, Michigan",2016-01-01,129186.0
3268,Michigan,"Ann Arbor, Michigan",2017-01-01,146613.0
2668,Michigan,"Ann Arbor, Michigan",2018-01-01,158101.0
2068,Michigan,"Ann Arbor, Michigan",2019-01-01,156462.0
1468,Michigan,"Ann Arbor, Michigan",2020-01-01,77886.0
868,Michigan,"Ann Arbor, Michigan",2021-01-01,46746.0
268,Michigan,"Ann Arbor, Michigan",2022-01-01,122757.0
10200,Alabama,"Anniston, Alabama",2005-01-01,2419.0
9600,Alabama,"Anniston, Alabama",2006-01-01,1907.0
9000,Alabama,"Anniston, Alabama",2007-01-01,4652.0
8400,Alabama,"Anniston, Alabama",2008-01-01,5181.0
7800,Alabama,"Anniston, Alabama",2009-01-01,4909.0
7200,Alabama,"Anniston, Alabama",2010-01-01,5955.0
6600,Alabama,"Anniston, Alabama",2011-01-01,6694.0
6000,Alabama,"Anniston, Alabama",2012-01-01,6209.0
5400,Alabama,"Anniston, Alabama",2013-01-01,5835.0
4800,Alabama,"Anniston, Alabama",2014-01-01,5200.0
4200,Alabama,"Anniston, Alabama",2015-01-01,5085.0
3600,Alabama,"Anniston, Alabama",2016-01-01,4871.0
3000,Alabama,"Anniston, Alabama",2017-01-01,4255.0
2400,Alabama,"Anniston, Alabama",2018-01-01,3833.0
1800,Alabama,"Anniston, Alabama",2019-01-01,4244.0
1200,Alabama,"Anniston, Alabama",2020-01-01,2369.0
600,Alabama,"Anniston, Alabama",2021-01-01,1948.0
0,Alabama,"Anniston, Alabama",2022-01-01,2486.0
10221,California,"Antioch-Pittsburg, California",2005-01-01,9455.0
9621,California,"Antioch-Pittsburg, California",2006-01-01,10557.0
9021,California,"Antioch-Pittsburg, California",2007-01-01,24416.0
8421,California,"Antioch-Pittsburg, California",2008-01-01,29129.0
7821,California,"Antioch-Pittsburg, California",2009-01-01,28889.0
7221,California,"Antioch-Pittsburg, California",2010-01-01,34417.0
6621,California,"Antioch-Pittsburg, California",2011-01-01,34794.0
6021,California,"Antioch-Pittsburg, California",2012-01-01,39001.0
5421,California,"Antioch-Pittsburg, California",2013-01-01,43953.0
4821,California,"Antioch-Pittsburg, California",2014-01-01,43231.0
4221,California,"Antioch-Pittsburg, California",2015-01-01,43217.0
3621,California,"Antioch-Pittsburg, California",2016-01-01,39995.0
3021,California,"Antioch-Pittsburg, California",2017-01-01,38103.0
2421,California,"Antioch-Pittsburg, California",2018-01-01,35345.0
1821,California,"Antioch-Pittsburg, California",2019-01-01,34615.0
1221,California,"Antioch-Pittsburg, California",2020-01-01,22331.0
621,California,"Antioch-Pittsburg, California",2021-01-01,19035.0
21,California,"Antioch-Pittsburg, California",2022-01-01,24262.0
3915,Missouri,"Arcadia, Missouri",2016-01-01,0.0
3315,Missouri,"Arcadia, Missouri",2017-01-01,1137.0
2715,Missouri,"Arcadia, Missouri",2018-01-01,1018.0
2115,Missouri,"Arcadia, Missouri",2019-01-01,1144.0
1515,Missouri,"Arcadia, Missouri",2020-01-01,788.0
915,Missouri,"Arcadia, Missouri",2021-01-01,577.0
315,Missouri,"Arcadia, Missouri",2022-01-01,876.0
10639,Oklahoma,"Ardmore, Oklahoma",2005-01-01,5196.0
10039,Oklahoma,"Ardmore, Oklahoma",2006-01-01,4506.0
9439,Oklahoma,"Ardmore, Oklahoma",2007-01-01,9642.0
8839,Oklahoma,"Ardmore, Oklahoma",2008-01-01,8607.0
8239,Oklahoma,"Ardmore, Oklahoma",2009-01-01,9094.0
7639,Oklahoma,"Ardmore, Oklahoma",2010-01-01,9324.0
7039,Oklahoma,"Ardmore, Oklahoma",2011-01-01,9941.0
6439,Oklahoma,"Ardmore, Oklahoma",2012-01-01,10278.0
5839,Oklahoma,"Ardmore, Oklahoma",2013-01-01,9729.0
5239,Oklahoma,"Ardmore, Oklahoma",2014-01-01,9053.0
4639,Oklahoma,"Ardmore, Oklahoma",2015-01-01,7967.0
4039,Oklahoma,"Ardmore, Oklahoma",2016-01-01,7218.0
3439,Oklahoma,"Ardmore, Oklahoma",2017-01-01,7287.0
2839,Oklahoma,"Ardmore, Oklahoma",2018-01-01,6918.0
2239,Oklahoma,"Ardmore, Oklahoma",2019-01-01,6614.0
1639,Oklahoma,"Ardmore, Oklahoma",2020-01-01,4435.0
1039,Oklahoma,"Ardmore, Oklahoma",2021-01-01,4110.0
439,Oklahoma,"Ardmore, Oklahoma",2022-01-01,4871.0
10655,Pennsylvania,"Ardmore, Pennsylvania",2005-01-01,20340.0
10055,Pennsylvania,"Ardmore, Pennsylvania",2006-01-01,22378.0
9455,Pennsylvania,"Ardmore, Pennsylvania",2007-01-01,40581.0
8855,Pennsylvania,"Ardmore, Pennsylvania",2008-01-01,46333.0
8255,Pennsylvania,"Ardmore, Pennsylvania",2009-01-01,47775.0
7655,Pennsylvania,"Ardmore, Pennsylvania",2010-01-01,53245.0
7055,Pennsylvania,"Ardmore, Pennsylvania",2011-01-01,53363.0
6455,Pennsylvania,"Ardmore, Pennsylvania",2012-01-01,59589.0
5855,Pennsylvania,"Ardmore, Pennsylvania",2013-01-01,67942.0
5255,Pennsylvania,"Ardmore, Pennsylvania",2014-01-01,56943.0
4655,Pennsylvania,"Ardmore, Pennsylvania",2015-01-01,61587.0
4055,Pennsylvania,"Ardmore, Pennsylvania",2016-01-01,68274.0
3455,Pennsylvania,"Ardmore, Pennsylvania",2017-01-01,66497.0
2855,Pennsylvania,"Ardmore, Pennsylvania",2018-01-01,63923.0
2255,Pennsylvania,"Ardmore, Pennsylvania",2019-01-01,68617.0
1655,Pennsylvania,"Ardmore, Pennsylvania",2020-01-01,34001.0
1055,Pennsylvania,"Ardmore, Pennsylvania",2021-01-01,14262.0
455,Pennsylvania,"Ardmore, Pennsylvania",2022-01-01,38570.0
10214,Arkansas,"Arkadelphia, Arkansas",2005-01-01,481.0
9614,Arkansas,"Arkadelphia, Arkansas",2006-01-01,493.0
9014,Arkansas,"Arkadelphia, Arkansas",2007-01-01,1130.0
8414,Arkansas,"Arkadelphia, Arkansas",2008-01-01,1480.0
7814,Arkansas,"Arkadelphia, Arkansas",2009-01-01,1365.0
7214,Arkansas,"Arkadelphia, Arkansas",2010-01-01,1486.0
6614,Arkansas,"Arkadelphia, Arkansas",2011-01-01,1574.0
6014,Arkansas,"Arkadelphia, Arkansas",2012-01-01,1602.0
5414,Arkansas,"Arkadelphia, Arkansas",2013-01-01,1787.0
4814,Arkansas,"Arkadelphia, Arkansas",2014-01-01,1527.0
4214,Arkansas,"Arkadelphia, Arkansas",2015-01-01,1308.0
3614,Arkansas,"Arkadelphia, Arkansas",2016-01-01,1177.0
3014,Arkansas,"Arkadelphia, Arkansas",2017-01-01,1390.0
2414,Arkansas,"Arkadelphia, Arkansas",2018-01-01,1433.0
1814,Arkansas,"Arkadelphia, Arkansas",2019-01-01,1389.0
1214,Arkansas,"Arkadelphia, Arkansas",2020-01-01,811.0
614,Arkansas,"Arkadelphia, Arkansas",2021-01-01,587.0
14,Arkansas,"Arkadelphia, Arkansas",2022-01-01,956.0
10429,Kentucky,"Ashland, Kentucky",2005-01-01,1259.0
9829,Kentucky,"Ashland, Kentucky",2006-01-01,1579.0
9229,Kentucky,"Ashland, Kentucky",2007-01-01,2829.0
8629,Kentucky,"Ashland, Kentucky",2008-01-01,2909.0
8029,Kentucky,"Ashland, Kentucky",2009-01-01,2925.0
7429,Kentucky,"Ashland, Kentucky",2010-01-01,2771.0
6829,Kentucky,"Ashland, Kentucky",2011-01-01,2820.0
6229,Kentucky,"Ashland, Kentucky",2012-01-01,2999.0
5629,Kentucky,"Ashland, Kentucky",2013-01-01,3007.0
5029,Kentucky,"Ashland, Kentucky",2014-01-01,2784.0
4429,Kentucky,"Ashland, Kentucky",2015-01-01,2581.0
3829,Kentucky,"Ashland, Kentucky",2016-01-01,2358.0
3229,Kentucky,"Ashland, Kentucky",2017-01-01,2419.0
2629,Kentucky,"Ashland, Kentucky",2018-01-01,2157.0
2029,Kentucky,"Ashland, Kentucky",2019-01-01,1965.0
1429,Kentucky,"Ashland, Kentucky",2020-01-01,1210.0
829,Kentucky,"Ashland, Kentucky",2021-01-01,1165.0
229,Kentucky,"Ashland, Kentucky",2022-01-01,1350.0
10739,Virginia,"Ashland, Virginia",2005-01-01,6845.0
10139,Virginia,"Ashland, Virginia",2006-01-01,5957.0
9539,Virginia,"Ashland, Virginia",2007-01-01,12909.0
8939,Virginia,"Ashland, Virginia",2008-01-01,16497.0
8339,Virginia,"Ashland, Virginia",2009-01-01,16634.0
7739,Virginia,"Ashland, Virginia",2010-01-01,19163.0
7139,Virginia,"Ashland, Virginia",2011-01-01,22359.0
6539,Virginia,"Ashland, Virginia",2012-01-01,24041.0
5939,Virginia,"Ashland, Virginia",2013-01-01,28421.0
5339,Virginia,"Ashland, Virginia",2014-01-01,27977.0
4739,Virginia,"Ashland, Virginia",2015-01-01,28141.0
4139,Virginia,"Ashland, Virginia",2016-01-01,28075.0
3539,Virginia,"Ashland, Virginia",2017-01-01,30892.0
2939,Virginia,"Ashland, Virginia",2018-01-01,29077.0
2339,Virginia,"Ashland, Virginia",2019-01-01,29924.0
1739,Virginia,"Ashland, Virginia",2020-01-01,15585.0
1139,Virginia,"Ashland, Virginia",2021-01-01,8617.0
539,Virginia,"Ashland, Virginia",2022-01-01,21894.0
10365,Georgia,"Atlanta, Georgia",2005-01-01,44229.0
9765,Georgia,"Atlanta, Georgia",2006-01-01,48291.0
9165,Georgia,"Atlanta, Georgia",2007-01-01,97594.0
8565,Georgia,"Atlanta, Georgia",2008-01-01,101084.0
7965,Georgia,"Atlanta, Georgia",2009-01-01,96453.0
7365,Georgia,"Atlanta, Georgia",2010-01-01,112364.0
6765,Georgia,"Atlanta, Georgia",2011-01-01,114938.0
6165,Georgia,"Atlanta, Georgia",2012-01-01,104854.0
5565,Georgia,"Atlanta, Georgia",2013-01-01,99005.0
4965,Georgia,"Atlanta, Georgia",2014-01-01,95630.0
4365,Georgia,"Atlanta, Georgia",2015-01-01,85252.0
3765,Georgia,"Atlanta, Georgia",2016-01-01,79915.0
3165,Georgia,"Atlanta, Georgia",2017-01-01,77751.0
2565,Georgia,"Atlanta, Georgia",2018-01-01,72197.0
1965,Georgia,"Atlanta, Georgia",2019-01-01,68112.0
1365,Georgia,"Atlanta, Georgia",2020-01-01,41277.0
765,Georgia,"Atlanta, Georgia",2021-01-01,34941.0
165,Georgia,"Atlanta, Georgia",2022-01-01,49579.0
10201,Alabama,"Atmore, Alabama",2005-01-01,115.0
10222,California,"Auburn, California",2005-01-01,16707.0
9622,California,"Auburn, California",2006-01-01,16687.0
9022,California,"Auburn, California",2007-01-01,32194.0
8422,California,"Auburn, California",2008-01-01,39023.0
