Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours
2022-02-01,324310.77193,70966.37798,114945.42818,61852.177,21320.56822,37644.62607,12743.58129
2022-01-01,373765.70458,87588.22693,134947.53058,70576.875,24197.61344,37416.32051,11198.1255
2021-12-01,337103.56092,60024.59585,127586.43005,70719.837,23561.87556,39849.02762,9061.0693
2021-11-01,314309.52061,57426.34728,122433.25919,62749.318,19373.24966,35751.09063,11054.16073
2021-10-01,320201.77808,62572.1427,131851.68145,58401.112,17132.93623,32215.11144,13088.99226
2021-09-01,347743.77489,78876.84017,138214.4087,64520.031,17022.26652,28997.8029,15584.01297
2021-08-01,412864.76753,101854.5988,172716.00517,69471.331,20328.14723,27071.12204,16891.19396
2021-07-01,405624.09062,101536.5367,170189.36311,68831.593,22097.51226,21715.55151,17384.07738
2021-06-01,373856.47762,87264.60172,149375.55551,66070.373,23454.07921,26671.53368,17303.9438
2021-05-01,320180.96143,63872.72048,114675.79155,63394.115,23308.96396,33786.50791,17519.84666
2021-04-01,293307.94443,53956.13351,107416.26793,57092.024,19388.82781,36157.80676,15502.04998
2021-03-01,311397.27585,61903.96388,107018.71133,63708.238,21220.43408,39205.24802,13454.48883
2021-02-01,323899.52894,87470.49993,111182.91493,62954.16,20136.50917,26715.50092,9269.54941
2021-01-01,349209.70891,81239.77891,126529.59847,71732.463,24560.04066,30060.4714,8309.06463
2020-12-01,344523.41279,78587.62866,127863.17223,69870.978,21507.84718,32010.64517,7580.39219
2020-11-01,301402.9637,61182.18639,109810.78026,61759.977,20892.65917,33129.4051,8453.28574
2020-10-01,313703.43883,59804.58904,131412.57892,59362.465,18810.4061,28822.66268,10395.32693
2020-09-01,333493.03669,68406.74534,141397.45495,65727.317,18678.80991,23185.97755,11453.82366
2020-08-01,398535.59244,91145.41119,173644.41702,68982.187,23283.5577,23029.3319,13513.9375
2020-07-01,409871.25996,89709.48262,181568.06361,69385.44,26741.77947,22866.19821,15015.04895
2020-06-01,351967.18981,65283.16993,143055.42341,67205.083,27999.3837,30212.40523,13923.04582
2020-05-01,304836.8258,46526.62632,117185.64596,64337.97,29976.16051,28377.50536,13920.70376
2020-04-01,279846.21376,40675.20198,110563.81511,59170.016,23194.35466,29752.22898,11736.47773
2020-03-01,309869.69613,50730.62847,126186.58013,63997.21,23823.01748,29319.78293,9773.50166
2020-02-01,319698.10627,56201.46779,128017.92848,65910.574,25868.06177,29110.49454,8184.13587
2020-01-01,342019.10952,65139.75937,136083.77995,74169.646,24497.85718,28121.41138,6771.41485
2019-12-01,338536.1584,72580.73606,131973.42828,73073.575,21478.18136,26643.83983,5499.8331
2019-11-01,315897.35204,75549.33857,117958.72597,64125.425,20217.59733,25184.35888,6591.54593
2019-10-01,320517.64482,66777.23093,131113.37797,62032.622,18305.81291,27624.5193,8925.99468
2019-09-01,360759.56925,85706.69196,149938.13228,66063.58,18525.75999,24513.46786,10022.19806
2019-08-01,401731.65456,94039.70636,175270.24757,71910.684,22578.66752,19978.03073,11487.90701
2019-07-01,410364.89139,100770.78542,172281.64499,72198.595,24875.39844,22100.72207,11892.78073
2019-06-01,353239.3549,78539.50426,138087.41868,68804.879,28077.76308,22445.97049,11575.14488
2019-05-01,330660.82267,71884.62525,117296.64899,67123.546,31982.04155,25779.38696,10710.6803
2019-04-01,296952.61144,59922.45969,104348.63205,60580.927,27820.1768,28915.30603,9997.2463
2019-03-01,326903.25259,78351.61989,116059.14624,65079.691,26333.98533,25772.67842,8812.88461
2019-02-01,315281.73224,79929.40881,112397.15916,64714.894,22880.53778,22622.75342,5894.64724
2019-01-01,359728.83511,100904.7043,121808.27731,73700.844,24797.80842,24301.4495,5483.40662
2018-12-01,342292.23263,100318.60014,109955.09663,71657.288,22797.16131,24306.28369,4884.51281
2018-11-01,322466.03384,92818.59372,108265.01201,63954.37,21912.71643,22015.7339,5648.04713
2018-10-01,325070.15013,87263.62736,123280.44647,59396.905,19548.19092,21193.89801,7361.46637
2018-09-01,356557.95968,96543.99239,142085.1857,64724.753,19165.6208,18519.67063,8635.23462
2018-08-01,408352.1497,115129.45572,162000.63402,72282.467,22016.90536,19846.43699,9712.3077
2018-07-01,411616.68565,115376.37644,165075.42624,72456.009,25099.52896,16446.57439,9901.29598
2018-06-01,372145.08425,101503.42674,131085.72296,69687.556,27597.48847,24702.85593,10473.77801
2018-05-01,339228.26158,85227.3,115564.6383,67320.248,30444.28385,23953.12766,9860.22196
2018-04-01,301056.94542,73346.00643,98671.58527,59133.155,28115.15452,26430.85718,8796.43825
2018-03-01,321765.18971,80625.66254,106742.01587,67032.656,25860.604,26463.70391,7490.19618
2018-02-01,307057.65745,82050.18241,98675.2857,64790.03,24902.25758,23189.48924,5662.7551
2018-01-01,373379.35268,119284.11471,110441.98208,74649.04,25064.07663,25598.8222,4938.335
2017-12-01,350563.35929,106545.36665,111553.28604,73699.572,22247.84164,22200.68098,4506.85847
2017-11-01,308188.6823,90986.33924,95072.30676,66617.853,19888.33402,22614.8668,4769.85448
2017-10-01,318731.20109,89775.52365,106895.19912,65994.785,17698.17945,24368.70291,6639.60775
2017-09-01,336003.83612,98202.04611,118131.70524,68097.918,19151.75538,17911.77474,7284.82088
2017-08-01,384837.27633,119488.38491,141307.8281,72384.218,22033.85574,13878.84827,7848.17288
2017-07-01,404537.00981,127697.82032,147041.80253,71314.219,26598.24651,16119.99604,8123.75179
2017-06-01,358630.10216,107508.32219,117351.49285,67010.782,30575.29559,20141.74696,8602.15011
2017-05-01,323494.02168,92776.54135,98074.11624,61312.753,32607.11514,23067.63856,8208.21502
2017-04-01,295461.51816,81335.3131,88562.36959,56743.352,29409.46563,25377.94296,7101.80352
2017-03-01,319469.28011,89364.62027,95214.19971,65093.2,29613.19463,25730.61672,6486.54205
2017-02-01,291112.63811,86822.18986,82836.97484,63560.371,23881.76459,22091.10927,4135.35386
2017-01-01,344413.96966,115332.80828,95661.24708,73120.612,26627.88134,20798.77101,3570.01671
2016-12-01,345389.34354,118746.8419,96416.06528,71662.429,22527.76456,23145.52474,3590.66861
2016-11-01,297065.26075,86940.46241,93950.8325,65178.776,18808.26528,19405.64211,4023.9887
2016-10-01,312939.72788,99193.94367,102897.98607,60733.343,17338.85654,20335.38978,4743.28769
2016-09-01,351560.04384,114137.76825,125683.45081,65448.176,16367.68403,16403.64017,5370.44767
2016-08-01,409861.38602,135634.73331,154926.02521,71526.405,19569.54914,13589.32615,5910.82805
2016-07-01,412043.3651,136316.43397,151716.16396,70349.347,21455.32093,17618.35712,5945.07716
2016-06-01,367903.54176,116034.38414,131522.99713,67175.324,23236.86739,16303.4413,5401.26493
2016-05-01,316866.99237,81694.51025,110518.5333,66576.493,25486.38143,18847.89867,5304.17484
2016-04-01,292986.59764,72112.8619,98973.7993,62731.845,25878.02878,20799.30345,4582.61853
2016-03-01,304427.42189,72172.52681,103933.12256,66148.894,27389.8772,21939.40933,4142.59215
2016-02-01,313816.4003,92704.80797,98688.19908,65638.141,24139.01548,20138.2278,3386.13613
2016-01-01,352713.71943,113459.37975,110043.74673,72524.775,25614.54233,18466.40151,2465.40732
2015-12-01,324536.1236,89495.07284,109892.10285,69633.664,23165.56195,20098.37277,2483.85893
2015-11-01,300779.39425,87227.13603,102368.84183,60263.941,19337.83088,19681.71564,2711.70957
2015-10-01,312210.41568,96758.50415,110109.75303,60570.921,16630.40155,16380.03853,3107.28733
2015-09-01,350190.22629,117985.6322,123110.83138,66476.372,16094.1224,13971.56651,3546.77556
2015-08-01,392241.71845,134670.3089,139215.8854,72415.352,19122.10511,13080.02756,4155.60157
2015-07-01,400534.56759,139099.86855,141241.24634,71412.176,21014.22144,13675.44937,4113.74514
2015-06-01,362493.0664,125673.11366,121567.81122,68516.165,20414.084,13421.26619,3965.61172
2015-05-01,322189.10137,104584.52668,101624.6975,65826.525,20125.4156,17151.34131,3897.98556
2015-04-01,294177.18729,88989.1425,92855.54624,59784.495,22470.97723,17867.14921,3642.64641
2015-03-01,324313.51714,108487.53856,99550.14498,64546.799,24280.90476,15307.92894,3205.83426
2015-02-01,334595.61098,126976.83198,91440.16871,63461.493,22286.07601,14921.54534,2299.31836
2015-01-01,360452.84324,132450.52066,101690.97336,74269.974,24138.3839,15162.14633,1901.79647
2014-12-01,337952.98061,124620.11616,91040.2099,73362.548,22328.78862,14711.24947,1797.81256
2014-11-01,317491.36447,119127.43937,84355.8568,65140.185,18624.92296,18866.92881,2171.44148
2014-10-01,314518.00875,111295.95754,97684.69687,62390.988,17159.21225,14507.93111,2681.80098
2014-09-01,339882.6659,126110.38461,106583.6804,67534.5,16074.32674,11519.76842,2878.62126
2014-08-01,384336.56063,148451.62333,122350.00526,71128.746,19807.24668,10170.52076,3018.61669
2014-07-01,385775.44987,149627.05758,115083.44611,71940.126,24357.40238,12187.39242,2936.22665
2014-06-01,357840.17847,137576.92149,98469.55616,68138.232,25743.87767,15798.81712,3023.8867
2014-05-01,324719.30714,118785.80061,89120.78275,62947.43,26543.88511,15601.36684,2841.66641
2014-04-01,297628.2622,109280.59165,76784.84902,56384.588,25439.90661,18635.54917,2475.52102
2014-03-01,331820.9692,136442.60132,78154.34115,62397.08,24257.12925,17735.8829,2224.12366
2014-02-01,324347.01617,143294.48747,75945.20996,62638.95,17396.12893,14008.66045,1498.82093
2014-01-01,377251.37842,157097.36861,91062.48197,73162.609,21633.79467,17911.21433,1375.15155
2013-12-01,353021.24773,141859.66537,92936.2913,71293.578,21128.29918,13967.05881,
2013-11-01,314539.64185,120939.72975,84286.78492,64975.456,17676.83384,15803.25968,
2013-10-01,314925.46247,120996.39294,88587.40151,63183.533,17198.59414,13635.01809,
2013-09-01,340940.90155,133110.43729,102063.23334,65798.971,16961.1523,11674.08115,
2013-08-01,385285.74515,149426.0529,121156.39696,71344.379,21633.31561,9633.88368,
2013-07-01,394845.6208,152866.8527,120770.9808,70539.238,27254.5715,11093.61355,
2013-06-01,356822.64723,138283.21603,99615.06431,66429.69,27384.06656,13748.10576,
2013-05-01,322155.64042,119512.5,83815.59186,62848.155,28450.09411,16238.70213,
2013-04-01,299332.86831,111834.68254,78036.43182,56766.882,25097.10474,17476.27429,
2013-03-01,325398.83402,130633.56036,84725.25919,62947.389,20534.35802,15755.65337,
2013-02-01,309728.08,123546.80484,80283.07377,61483.385,20418.46514,14075.59068,
2013-01-01,348967.37792,138104.82108,88559.05007,71405.817,24828.52759,14738.50426,
2012-12-01,334634.74915,134078.90757,83989.0974,68583.669,22984.35228,14523.51758,
2012-11-01,305975.85101,128727.0657,80169.46107,56712.757,18733.31916,11648.4968,
2012-10-01,311651.9307,120999.33876,91725.37056,59743.218,16501.69662,12635.90112,
2012-09-01,334585.56266,125588.60805,108012.30069,64510.882,17603.96419,8789.86546,
2012-08-01,395699.74917,152181.05516,131735.86442,69602.111,23033.72581,8469.41899,
2012-07-01,414641.21748,160450.26253,138862.84998,69129.329,26491.04579,8823.083,
2012-06-01,360825.3809,131261.03605,115597.50323,65140.085,26657.66222,11972.15949,
2012-05-01,336516.15597,115982.64658,107351.81228,62081.445,28641.31224,12540.32427,
2012-04-01,295229.20493,96285.44067,94828.59637,55870.931,26295.39842,12709.03261,
2012-03-01,309089.55207,105525.54678,92250.65327,61728.613,25906.63425,14027.34496,
2012-02-01,309389.43252,113872.04689,90609.78234,63847.023,20283.9644,11051.71417,
2012-01-01,339526.48011,129090.98981,90760.88378,72381.186,23107.14392,13630.85627,
2011-12-01,335740.46276,132928.71614,86121.62582,71837.372,23731.94371,10655.77473,
2011-11-01,304102.15444,121462.71077,75441.29818,64473.88,20680.52743,12438.55312,
