date,value
2021-09-01,44161.37741
2021-10-01,39412.2624
2021-11-01,35222.44676
2021-12-01,37701.17176
2022-01-01,41318.23875
2022-02-01,38185.96504
2022-03-01,36667.35743
2022-04-01,37962.88085
2022-05-01,46264.31523
2022-06-01,50579.63377
2022-07-01,55359.66064
2022-08-01,52202.67054
2022-09-01,45244.57326
2022-10-01,39612.1515
2022-11-01,39632.34919
2022-12-01,42533.54692
2023-01-01,41520.66627
2023-02-01,38152.56198
2023-03-01,40048.54061
2023-04-01,38123.93956
2023-05-01,44543.51493
2023-06-01,51610.82744
2023-07-01,57282.22839
2023-08-01,60044.48073
2023-09-01,51641.22369
2023-10-01,43164.13639
2023-11-01,39207.96224
2023-12-01,41954.46264
2024-01-01,47150.91874
2024-02-01,38821.43527
2024-03-01,40483.43196
2024-04-01,41074.20233
2024-05-01,47572.53389
2024-06-01,52377.67304
2024-07-01,54302.87484
2024-08-01,58513.95257
2024-09-01,50206.27934
2024-10-01,47671.69087
2024-11-01,41930.84911
2024-12-01,43647.2203
2025-01-01,50414.83192
2025-02-01,43152.96428
2025-03-01,43194.33149
2025-04-01,43683.72924
2025-05-01,49337.47428
2025-06-01,53542.2739
2025-07-01,57614.14496
